标题,来源,下载方式,链接
非肌层浸润性膀胱尿路上皮癌膀胱内药物灌注治疗安全共识,中国医促会泌尿健康促进分会,站内免费下载,https://guide.medlive.cn/guideline/19816
中医禁食疗法专家共识（征求意见稿）,中医相关专家组（统称）,站内免费下载,https://guide.medlive.cn/guideline/19809
左炔诺孕酮宫内缓释系统临床应用的中国专家共识,妇产科相关专家组（统称）,会员可通过APP阅读,https://guide.medlive.cn/guideline/19801
老年人功能性便秘中西医结合诊疗专家共识（2019）,北京中医药学会老年医学专业委员会,会员可通过APP阅读,https://guide.medlive.cn/guideline/19797
中国左心耳封堵预防心房颤动卒中专家共识（2019）,中华医学会心血管病学分会(Chinese Society of Cardiology),会员可通过APP阅读,https://guide.medlive.cn/guideline/19796
中国经导管左心耳封堵术临床路径专家共识,"中国医师协会心血管内科医师分会(CCCP,Chinese College of Cardiovascular Physicians)",站内免费下载,https://guide.medlive.cn/guideline/19787
甲状腺功能亢进症基层诊疗指南（2019年）,"中华医学会(CMA,Chinese Medical Association)",有其他版本会员可通过APP阅读,https://guide.medlive.cn/guideline/19778
RigiScan勃起功能障碍诊治临床应用中国专家共识,"中国性学会(CSA,China Sexology Association)",站内免费下载,https://guide.medlive.cn/guideline/19775
中国乳腺癌靶向治疗药物安全性管理专家共识,中华医学会肿瘤学分会,站内免费下载,https://guide.medlive.cn/guideline/19764
河南省肿瘤医院乳腺癌相关继发性淋巴水肿诊疗专家共识,河南省肿瘤医院乳腺癌诊疗共识专家团队,站内免费下载,https://guide.medlive.cn/guideline/20290
2019 NASPGHAN意见书：早发性炎症性肠病患者的评估和管理,"北美小儿胃肠病、肝脏病和营养学会(NASPGHAN,North American society for pediatric gastroenterology,Hepatology,and nutrition)",站内免费下载,https://guide.medlive.cn/guideline/19739
2020 ESVS临床实践指南：急性肢体缺血的管理,"欧洲血管外科学会(ESVS,The European Society for Vascular Surgery)",站内免费下载,https://guide.medlive.cn/guideline/19732
2019 IPOG共识建议：Robin序列征,"国际小儿耳鼻喉科小组(IPOG,International Pediatric Otolaryngology Group)",站内免费下载,https://guide.medlive.cn/guideline/19733
2019 SCAI专家共识声明：经桡动脉动脉造影和介入治疗（更新版）,"美国心血管造影和介入学会(SCAI,Society for Cardiovascular Angiography and Interventions)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/19703
2018 日本共识：瘢痕疙瘩及增生性瘢痕的诊断与治疗,日本瘢痕工作组(Japan Scar Workshop),站内免费下载,https://guide.medlive.cn/guideline/19719
消化系统常见病慢性胰腺炎中医诊疗指南（基层医生版）,中华中医药学会脾胃病分会,站内免费下载,https://guide.medlive.cn/guideline/19709
外伤后破伤风疫苗和被动免疫制剂使用指南,"中国疾病预防控制中心(CDC,Chinese Center For Disease Control And Prevention)",站内免费下载,https://guide.medlive.cn/guideline/19704
2019 SOAPC共识指南：细胞缩减术手术和腹腔内温热灌注化疗患者的围术期管理,"肿瘤麻醉与围术期护理学会(SOAPC,Society of Onco-Anaesthesia and Perioperative Care)",站内免费下载,https://guide.medlive.cn/guideline/19701
中国蛛网膜下腔出血诊治指南2019,中华医学会神经病学分会,有其他版本会员可通过APP阅读,https://guide.medlive.cn/guideline/19699
早产儿早发型败血症的诊断与抗生素使用建议——湖南省新生儿科专家共识,湖南省新生儿医疗质量控制中心,站内免费下载,https://guide.medlive.cn/guideline/19700
口疮中医临床实践指南（2018）,世界中医药学会联合会,站内免费下载,https://guide.medlive.cn/guideline/19711
2018 SIP指南：儿童急性中耳炎的管理（更新版）,"意大利儿科学会(SIP,Italian Society of Pediatrics)",站内免费下载,https://guide.medlive.cn/guideline/19705
人工智能平台下肺结节的三维可视化定位与手术规划专家共识,中国医药教育协会,有其他版本站内免费下载,https://guide.medlive.cn/guideline/19694
2019 国际共识建议：针对骶骨转移和脊柱的立体定向放射治疗（SBRT）的靶区勾画,国外肿瘤科相关专家小组（统称）,站内免费下载,https://guide.medlive.cn/guideline/19689
2019 AASLD实践指南：成人和儿童自身免疫性肝炎的诊断和治疗,"美国肝病研究学会(AASLD,American Association for the Study of Liver Diseases)",有翻译有其他版本站内免费下载,https://guide.medlive.cn/guideline/19654
2020 ADA 糖尿病医学诊疗标准,"美国糖尿病学会(ADA,American Diabetes Association)",有解读有其他版本第三方数据库下载,https://guide.medlive.cn/guideline/19653
肝硬化门静脉高压症食管、胃底静脉曲张破裂出血诊治专家共识（2019版）,中华医学会外科学分会,有其他版本会员可通过APP阅读,https://guide.medlive.cn/guideline/19687
缺铁性贫血营养防治专家共识,"中国营养学会(CNS,Chinese Nutrition Society)",站内免费下载,https://guide.medlive.cn/guideline/19691
2019 SITC共识声明：晚期肾细胞癌（RCC）免疫治疗,"肿瘤免疫治疗学会(SITC,Society for Immunotherapy of Cancer)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/19657
河南省肿瘤医院乳腺良性疾病诊疗专家共识,河南省肿瘤医院乳腺癌诊疗共识专家团队,站内免费下载,https://guide.medlive.cn/guideline/20203
前庭诱发肌源性电位临床检测技术专家共识,中国康复医学会(Chinese Association Of Rehabilitation Medicine),站内免费下载,https://guide.medlive.cn/guideline/19693
丙型肝炎防治指南（2019年版）,"中华医学会肝病学分会(Chinese Society of Hepatology, CMA)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/19652
中国老年膝关节骨关节炎诊疗及智能矫形康复专家共识,中国医师协会急救复苏专业委员会创伤骨科与多发伤学组,站内免费下载,https://guide.medlive.cn/guideline/19761
2019 ESGE指南：ERCP相关不良事件,"欧洲胃肠道内窥镜学会(ESGE,European Society of Gastrointestinal Endoscopy)",有解读有翻译第三方数据库下载,https://guide.medlive.cn/guideline/19661
动态心电图报告规范专家共识（2019）,《动态心电图报告规范专家共识（2019）》编写专家组,站内免费下载,https://guide.medlive.cn/guideline/19673
2019 UKHCDO指南：艾美赛珠单抗治疗与实验室凝血检测,"英国血友病中心医师组织(UKHCDO,United Kingdom Haemophilia Centre Doctors' Organisation)",站内免费下载,https://guide.medlive.cn/guideline/19662
2019 最佳实践建议：颈部疼痛患者的整脊治疗管理,国外骨科相关专家小组（统称）,有解读站内免费下载,https://guide.medlive.cn/guideline/19696
2018 英国国家指南：淋球菌感染的管理,"英国性健康与艾滋病协会(BASHH,British Association for Sexual Health and HIV)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/19684
2019 ADA/EASD共识：2型糖尿病患者高血糖的管理（更新版）,"美国糖尿病学会(ADA,American Diabetes Association)",第三方数据库下载,https://guide.medlive.cn/guideline/19658
2019 欧洲多学科共识指南：黑色素瘤的治疗（更新版）,"欧洲皮肤病学论坛(EDF,European Dermatology Forum)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/19676
2019 临床实践指南：儿童和青少年癌症患者顺铂相关耳毒性的预防,国外肿瘤科相关专家小组（统称）,第三方数据库下载,https://guide.medlive.cn/guideline/19678
2019 ACOG实践简报：巨大儿（No.216）,"美国妇产科医师学会(ACOG,American College of Obstetricians and Gynecologists)",有解读有其他版本站内免费下载,https://guide.medlive.cn/guideline/19680
2019 ACOG实践简报：非妊娠女性阴道炎（No.215）,"美国妇产科医师学会(ACOG,American College of Obstetricians and Gynecologists)",有解读站内免费下载,https://guide.medlive.cn/guideline/19714
2019 SIN意见书：依特卡肽治疗继发性甲状旁腺功能亢进症,"意大利肾病学会(SIN,Italian Society of Nephrology)",站内免费下载,https://guide.medlive.cn/guideline/19681
2019 APSC共识建议：急诊疑似急性冠脉综合征患者高敏肌钙蛋白T评估,"亚太心脏病学会(APSC,Asia-Pacific Society of Cardiology)",站内免费下载,https://guide.medlive.cn/guideline/19660
2019 NICE指南：急性肾损伤的预防，检测和管理（NG.148）,"英国国家卫生与临床优化研究所 (NICE,National Institute for Health and Clinical Excellence)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/19628
2019 国际共识指南：慢性胰腺炎手术治疗以及干预时机,"国际胰腺病协会(IAP,International Association of Pancreatology)",有解读有翻译站内免费下载,https://guide.medlive.cn/guideline/19685
2018 UKHCDO指南：先天性血友病因子替代疗法的实验室检测,"英国血友病中心医师组织(UKHCDO,United Kingdom Haemophilia Centre Doctors' Organisation)",站内免费下载,https://guide.medlive.cn/guideline/19638
2019 RCOG指南：妊娠期和产后孕产妇衰竭（No.56）,"英国皇家妇产科医师学院(RCOG,Royal College of Obstetricians and Gynaecologists)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/19635
2019 BC指南：高血压的诊断和管理（草案）,"不列颠哥伦比亚省临床实践指南中心(BC,Clinical Practice Guidelines and Protocols in British Columbia)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/19710
新型抗肿瘤药物临床应用指导原则（2019年版）,中华人民共和国国家卫生健康委员会,有其他版本站内免费下载,https://guide.medlive.cn/guideline/19670
2019 ESC/ESH意见书：围产期高血压的管理,"欧洲心脏病学会(ESC,European Society of Cardiology)",站内免费下载,https://guide.medlive.cn/guideline/19642
2019 儿童肾脏营养组建议：儿童2-5期CDK患者及透析患者能量和蛋白质需求,"儿童肾脏营养工作组(PRNT,Pediatric Renal Nutrition Taskforce)",站内免费下载,https://guide.medlive.cn/guideline/19650
2019 IPOG共识建议：先天性胆脂瘤,"国际小儿耳鼻喉科小组(IPOG,International Pediatric Otolaryngology Group)",站内免费下载,https://guide.medlive.cn/guideline/19647
2019 AHA科学建议：膳食胆固醇与心血管风险,"美国心脏协会(AHA,American Heart Association)",站内免费下载,https://guide.medlive.cn/guideline/19643
2019 JOA指南：前交叉韧带损伤（第3版）,"日本骨科学会(JOA,Japanese Orthopaedic Association)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/19634
2019 ASGE指南：贲门失弛缓症的管理,"美国胃肠内镜学会(ASGE,American Society for Gastrointestinal Endoscopy)",站内免费下载,https://guide.medlive.cn/guideline/19623
2019 台湾临床实践建议：影像学检查在中轴型脊柱关节炎的诊断和管理中的应用,台湾风湿病协会(Taiwan Rheumatology Association),站内免费下载,https://guide.medlive.cn/guideline/19616
2019 KCRNC共识声明：肾肿块活检在肾癌管理中的作用,"加拿大肾脏肿瘤研究网络(KCRNC,Kidney Cancer Research Network of Canada)",第三方数据库下载,https://guide.medlive.cn/guideline/19613
2019 专家共识：乐伐替尼治疗甲状腺癌期间不良事件的管理,国外肿瘤科相关专家小组（统称）,站内免费下载,https://guide.medlive.cn/guideline/19640
2019 新西兰产科超声检查指南,新西兰卫生部(New Zealand Ministry of Health),站内免费下载,https://guide.medlive.cn/guideline/19742
2019 ASSFN立场声明：磁共振引导聚焦超声治疗特发性震颤,"美国立体定向与功能神经外科学会(ASSFN,American Society for Stereotactic and Functional Neurosurgery)",站内免费下载,https://guide.medlive.cn/guideline/19612
2018 JBCS临床实践指南：乳腺癌外科治疗,"日本乳腺癌学会(JBCS,Japan Breast Cancer Society)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/19609
2019 BAP循证指南：精神分裂症的药物治疗（更新版）,"英国精神药理协会(BAP,British Association for Psychopharmacology)",站内免费下载,https://guide.medlive.cn/guideline/19606
2019 WSES/AAST指南：胰十二指肠以及肝外胆管树损伤,"世界急诊外科学会(WSES,World Society of Emergency Surgery)",站内免费下载,https://guide.medlive.cn/guideline/19672
2019 SFORL实践指南：靠近上颌窦的牙种植术,"法国耳鼻喉科学会(SFORL,French Society of Otorhinolaryngology)",站内免费下载,https://guide.medlive.cn/guideline/19621
2019 SCCT专家共识：心肌CT灌注成像,"美国心血管计算机断层扫描学会(SCCT,Society of Cardiovascular Computed Tomography)",站内免费下载,https://guide.medlive.cn/guideline/20163
先天性心脏病外科治疗中国专家共识（一）：大动脉调转术应用,国家心血管病专家委员会先天性心脏病专业委员会,有解读有其他版本站内免费下载,https://guide.medlive.cn/guideline/19585
肺切除手术患者术前肺功能评估肺科共识,上海市肺科医院胸外科,站内免费下载,https://guide.medlive.cn/guideline/19599
复杂肝泡型包虫病诊疗专家共识（2020版）,四川省包虫病临床医学研究中心,站内免费下载,https://guide.medlive.cn/guideline/19615
泡型肝包虫病诊疗专家共识（2020版）,四川省包虫病临床医学研究中心,站内免费下载,https://guide.medlive.cn/guideline/19608
血管内介入技术在产后出血防治中的应用专家共识（2019）,中国妇幼保健协会放射介入专业委员会,站内免费下载,https://guide.medlive.cn/guideline/19604
2018 JSH实践指南：血液恶性肿瘤—Ⅱ.淋巴瘤-4：套细胞淋巴瘤,"日本血液学会(JSH,Japanese Society of Hematology)",站内免费下载,https://guide.medlive.cn/guideline/19600
2019 USPSTF建议声明：腹主动脉瘤的筛查,"美国预防医学工作组(USPSTF,U.S. Preventive Services Task Force)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/19588
2020 ASA实践指南：中心静脉通路,"美国麻醉医师协会(ASA,American Society of Anesthesiologists)",有其他版本第三方数据库下载,https://guide.medlive.cn/guideline/19587
2019 AASLD/IDSA指南：丙型肝炎病毒感染的检测，管理和治疗建议（更新版）,"美国肝病研究学会(AASLD,American Association for the Study of Liver Diseases)",有翻译有其他版本站内免费下载,https://guide.medlive.cn/guideline/19583
2019 AHA科学声明：重症监护室中老年患者的管理—老年综合征,"美国心脏协会(AHA,American Heart Association)",站内免费下载,https://guide.medlive.cn/guideline/19666
2019 临床指南：促进肺外科术后恢复的围术期管理策略,中外胸外科专家小组（统称）,站内免费下载,https://guide.medlive.cn/guideline/19979
2017年第一次国际共识会议建议：自身免疫性溶血性贫血的诊断和治疗,国外血液科相关专家小组,站内免费下载,https://guide.medlive.cn/guideline/19625
替罗非班在动脉粥样硬化性脑血管疾病中的临床应用专家共识,"中国卒中学会(CSA,Chinese Stroke Association)",有解读站内免费下载,https://guide.medlive.cn/guideline/19560
2019 国际专家共识：胸腔镜肺切除术期间出血的管理,国际VATS期间出血研究小组,第三方数据库下载,https://guide.medlive.cn/guideline/19971
慢性乙型肝炎防治指南（2019年版）,"中华医学会感染病学会分会(Society of Infectious Diseases,CMA)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/19486
2019 国际专家立场声明：患有肝窦阻塞综合征的儿童、青少年和年轻成人的诊断，分级和治疗建议,国外肝病科相关专家小组（统称）,站内免费下载,https://guide.medlive.cn/guideline/19590
2019 CINP指南：难治性双相情感障碍的定义及循证干预,"国际神经精神药理学学会(CINP,International College of Neuropsychopharmacology)",站内免费下载,https://guide.medlive.cn/guideline/19601
2019 JSS指南：静脉溶栓治疗（重组组织型纤溶酶原激活剂）-第3版,"日本卒中学会(JSS,Japan Stroke Society)",站内免费下载,https://guide.medlive.cn/guideline/19554
2019 CUA/CUOG指南：转移性单纯去势和去势敏感型前列腺癌,"加拿大泌尿外科协会(CUA,Canadian Urological Association)",第三方数据库下载,https://guide.medlive.cn/guideline/19890
中国卒中门诊建设规范,国家神经系统疾病医疗质量控制中心,站内免费下载,https://guide.medlive.cn/guideline/19611
2019 意大利指南：儿童牙外伤的预防和管理,国外口腔科相关专家组（统称）,站内免费下载,https://guide.medlive.cn/guideline/19553
2019 SOGC临床实践指南：妊娠糖尿病（No. 393）,"加拿大妇产科医生协会(SOGC,Society of Obstetricians and Gynaecologists of Canada)",有解读有其他版本站内免费下载,https://guide.medlive.cn/guideline/19463
2019 SOGC临床实践指南：子宫内膜增生的分类和管理（No. 392）,"加拿大妇产科医生协会(SOGC,Society of Obstetricians and Gynaecologists of Canada)",站内免费下载,https://guide.medlive.cn/guideline/19458
2019 国际共识声明：远端胆管狭窄的内镜管理,亚洲胰胆管介入治疗专家小组,有解读第三方数据库下载,https://guide.medlive.cn/guideline/19567
2019 卒中肺炎工作组共识：卒中并发肺炎的抗生素治疗,国外神经内科相关专家小组（统称）,有翻译第三方数据库下载,https://guide.medlive.cn/guideline/19753
2019 ESO指南：急性脑出血口服抗凝剂逆转,"欧洲卒中组织(ESO,European Stroke Organisation)",第三方数据库下载,https://guide.medlive.cn/guideline/19748
2019 EDF指南：局部光动力治疗—第1部分：治疗和适应证—光化性角化病，鲍温病和基底细胞癌,"欧洲皮肤病学论坛(EDF,European Dermatology Forum)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/19569
2019 EAU/ESPU指南：儿童和青少年神经源性膀胱的管理—手术治疗,"欧洲泌尿外科学会(EAU,European Association of Urology)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/19476
2019 CCCS临床实践指南：血管加压素和加压素类似物在分布性休克危重患者中的应用,"加拿大重症监护学会(CCCS,Canadian Critical Care Society)",有解读站内免费下载,https://guide.medlive.cn/guideline/19483
2019 AGA临床实践指南：胃部肠上皮化生,"美国胃肠病协会(AGA,American Gastroenterological Association)",第三方数据库下载,https://guide.medlive.cn/guideline/19577
消渴丸治疗2 型糖尿病临床应用专家共识,中医相关专家组（统称）,站内免费下载,https://guide.medlive.cn/guideline/20103
2019 WSES/AAST指南：肾脏和泌尿系损伤,"世界急诊外科学会(WSES,World Society of Emergency Surgery)",站内免费下载,https://guide.medlive.cn/guideline/19752
2019 立场声明：应用生物仿制药治疗炎症性肠病,国外消化科相关专家小组（统称）,站内免费下载,https://guide.medlive.cn/guideline/19484
2019 ACR/EULAR IgG4相关性疾病的分类标准,"美国风湿病学会(ACR,American College of Rheumatology)",第三方数据库下载,https://guide.medlive.cn/guideline/19473
2019 EANO/EURACAN临床实践指南：青春期后和成人髓母细胞瘤的诊断，治疗和随访,"欧洲神经肿瘤协会(EANO,European Association for Neuro-Oncology)",站内免费下载,https://guide.medlive.cn/guideline/19485
2019 循证临床实践指南：皮脂腺癌,国外肿瘤科相关专家小组（统称）,站内免费下载,https://guide.medlive.cn/guideline/19482
中西医结合防治糖尿病足中国专家共识（第1版）,"中国中西医结合学会(CAIM,Chinese Association of Integrative Medicine)",站内免费下载,https://guide.medlive.cn/guideline/19556
舒张性心力衰竭诊断和治疗专家共识,中国心肌炎心肌病协作组,站内免费下载,https://guide.medlive.cn/guideline/19481
2019 AA/NACCS指南：脑外伤和脑卒中患者的安全转移,"麻醉医师协会（英国）(AA,Association of Anaesthetists)",站内免费下载,https://guide.medlive.cn/guideline/19471
2019 ASH指南：免疫性血小板减少症,"美国血液病学会(ASH,American Society of Hematology)",第三方数据库下载,https://guide.medlive.cn/guideline/19467
2019 澳大利亚和新西兰对乙酰氨基酚中毒管理指南（更新版）,国外毒理学相关专家组（统称）,有其他版本站内免费下载,https://guide.medlive.cn/guideline/19451
2019 ASH指南：镰状细胞病——心肺和肾脏疾病,"美国血液病学会(ASH,American Society of Hematology)",第三方数据库下载,https://guide.medlive.cn/guideline/19468
2019 ASH 静脉血栓栓塞管理指南：外科住院患者静脉血栓栓塞的预防,"美国血液病学会(ASH,American Society of Hematology)",有解读有其他版本第三方数据库下载,https://guide.medlive.cn/guideline/19475
2019 ACOG委员会意见：遗传性癌症综合征和风险评估（No.793）,"美国妇产科医师学会(ACOG,American College of Obstetricians and Gynecologists)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/19490
2019 多学科共识文件：转移性激素敏感和转移性去势抵抗性前列腺癌患者的监测,国外肿瘤科相关专家小组（统称）,站内免费下载,https://guide.medlive.cn/guideline/19558
中医尿液检验专家共识,中国医师协会检验医师分会,站内免费下载,https://guide.medlive.cn/guideline/20010
直肠肛门日间手术临床实践指南（2019版）,国家老年疾病临床医学研究中心,站内免费下载,https://guide.medlive.cn/guideline/19679
血栓闭塞性脉管炎中西医结合专家共识,"中国中西医结合学会(CAIM,Chinese Association of Integrative Medicine)",站内免费下载,https://guide.medlive.cn/guideline/20239
中国开放性骨折诊断与治疗指南（2019版）,"中华医学会骨科学分会(COA,Chinese Orthopaedic Association)",会员可通过APP阅读,https://guide.medlive.cn/guideline/19744
心脏骤停复苏后血流动力学管理的专家共识,中华医学会急诊医学分会,会员可通过APP阅读,https://guide.medlive.cn/guideline/19724
Ilizarov技术治疗成人僵硬型马蹄内翻足临床诊疗专家共识（2019版）,中国医师协会骨科医师分会,站内免费下载,https://guide.medlive.cn/guideline/19723
中国卒中吞咽障碍与营养管理手册,中国卒中吞咽障碍与营养管理共识专家组,站内免费下载,https://guide.medlive.cn/guideline/19708
肾移植远期并发症诊疗技术规范（2019版）,中华医学会器官移植学分会,站内免费下载,https://guide.medlive.cn/guideline/19651
脓毒性休克中西医结合诊治专家共识,"中国中西医结合学会(CAIM,Chinese Association of Integrative Medicine)",会员可通过APP阅读,https://guide.medlive.cn/guideline/20625
中国紫杉类药物剂量密集化疗方案临床应用专家共识,"中国抗癌协会(CACA,Chinese Anti-cancer Association)",站内免费下载,https://guide.medlive.cn/guideline/19595
3D腹腔镜手术技术中国专家共识（2019版）,中华医学会外科学分会,有其他版本站内免费下载,https://guide.medlive.cn/guideline/19589
人腺病毒呼吸道感染预防控制技术指南（2019年版）,人腺病毒呼吸道感染预防控制技术指南编写审定专家组,会员可通过APP阅读,https://guide.medlive.cn/guideline/19586
中国POEMS综合征周围神经病变诊治专家共识,中华医学会神经病学分会,会员可通过APP阅读,https://guide.medlive.cn/guideline/19584
妇科围手术期患者血液管理的专家共识,妇产科相关专家组（统称）,站内免费下载,https://guide.medlive.cn/guideline/19582
免疫检查点抑制剂相关肺炎诊治专家共识,中华医学会呼吸病学分会肺癌学组,会员可通过APP阅读,https://guide.medlive.cn/guideline/19581
中国吉兰‐巴雷综合征诊治指南2019,中华医学会神经病学分会,有其他版本会员可通过APP阅读,https://guide.medlive.cn/guideline/19575
鼠神经生长因子神经外科临床应用专家共识,鼠神经生长因子神经外科（中国）临床应用专家共识委员会,站内免费下载,https://guide.medlive.cn/guideline/19574
4K 腹腔镜手术技术中国专家共识（2019 版）,中华医学会外科学分会,站内免费下载,https://guide.medlive.cn/guideline/19568
中国癌症症状管理实践指南—皮肤反应,中国抗癌协会肿瘤护理专业委员会,有其他版本站内免费下载,https://guide.medlive.cn/guideline/19564
SiewertⅡ型食管胃结合部腺癌腔镜手术治疗中国专家共识（2019 版）,中华医学会外科学分会,有其他版本站内免费下载,https://guide.medlive.cn/guideline/19597
膀胱/前列腺横纹肌肉瘤专家共识,中华医学会小儿外科学分会,站内免费下载,https://guide.medlive.cn/guideline/19573
基于多功能超声造影剂的肿瘤分子成像和可视化联合精准治疗的专家共识,山东省中西医结合学会超声专业委员会,站内免费下载,https://guide.medlive.cn/guideline/19834
甲状腺功能减退症基层诊疗指南（2019年）,"中华医学会(CMA,Chinese Medical Association)",有其他版本会员可通过APP阅读,https://guide.medlive.cn/guideline/19637
室性心动过速基层诊疗指南（2019年）,"中华医学会(CMA,Chinese Medical Association)",有其他版本会员可通过APP阅读,https://guide.medlive.cn/guideline/19631
心脏骤停基层诊疗指南（2019年）,"中华医学会(CMA,Chinese Medical Association)",有其他版本会员可通过APP阅读,https://guide.medlive.cn/guideline/19626
达托霉素临床应用专家意见,达托霉素临床应用专家意见编写专家组,站内免费下载,https://guide.medlive.cn/guideline/19620
速效救心丸治疗冠心病中国专家共识,"中国中西医结合学会(CAIM,Chinese Association of Integrative Medicine)",站内免费下载,https://guide.medlive.cn/guideline/19622
腹腔镜肾盂成形术安全共识,中国医促会泌尿健康促进分会,站内免费下载,https://guide.medlive.cn/guideline/19667
拉帕替尼不良反应管理共识,中国拉帕替尼不良反应管理共识专家组,站内免费下载,https://guide.medlive.cn/guideline/19665
骨质疏松症康复指南,中国康复医学会(Chinese Association Of Rehabilitation Medicine),站内免费下载,https://guide.medlive.cn/guideline/19610
乳腺癌术后乳房重建中国专家共识（2019版）,中华医学会外科学分会,站内免费下载,https://guide.medlive.cn/guideline/19551
癌症疼痛管理药学专家共识,北京市疼痛治疗质量控制和改进中心,站内免费下载,https://guide.medlive.cn/guideline/19550
2019 昆士兰临床指南：产时胎儿监测（IFS）,"昆士兰卫生组织(QLD,Queensland Health)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/19459
癫痫共患睡眠障碍诊断治疗的中国专家共识,"中国抗癫痫协会(CAAE,China Association Against Epilepsy)",站内免费下载,https://guide.medlive.cn/guideline/19457
新生儿遗传代谢病筛查指标切值建立方法专家共识,中华人民共和国国家卫生健康委员会,站内免费下载,https://guide.medlive.cn/guideline/19447
泛血管疾病综合防治科学声明,《泛血管疾病综合防治科学声明》工作组,站内免费下载,https://guide.medlive.cn/guideline/19443
感染诱发的老年多器官功能障碍综合征诊断与治疗中国指南2019,中国老年医学学会,站内免费下载,https://guide.medlive.cn/guideline/19438
