标题,来源,下载方式,链接
上海市减重与代谢外科手术管理规范（2023版）,上海市普通外科临床质量控制中心,有其他版本站内免费下载,https://guide.medlive.cn/guideline/27779
梗阻性黄疸18F-FDG PET／MR 成像中国专家共识,中国核医学专家组（统称）,站内免费下载,https://guide.medlive.cn/guideline/27776
慢性阻塞性肺疾病急性加重高风险患者识别与管理中国专家共识,中华医学会呼吸病学分会慢性阻塞性肺疾病学组,会员可通过APP阅读,https://guide.medlive.cn/guideline/27764
新型冠状病毒感染居家康复专家共识,中国康复医学会(Chinese Association Of Rehabilitation Medicine),站内免费下载,https://guide.medlive.cn/guideline/27760
新型冠状病毒感染恢复期健康管理专家共识,湖北省健康管理学会,站内免费下载,https://guide.medlive.cn/guideline/27756
山东省新冠病毒感染重症肺炎诊疗专家共识（第一版）,山东省新冠病毒感染重症救治专家组,站内免费下载,https://guide.medlive.cn/guideline/27755
老年人认知障碍评估中国专家共识（2022）,中华医学会老年医学分会,会员可通过APP阅读,https://guide.medlive.cn/guideline/27741
复方苁蓉益智胶囊治疗血管性痴呆临床应用专家共识,中医相关专家组（统称）,站内免费下载,https://guide.medlive.cn/guideline/27734
胃静脉曲张血流动力学分型与临床处理专家共识,"中华医学会消化病学分会(CSGE,Chinese Society Of Gastroenterology)",站内免费下载,https://guide.medlive.cn/guideline/27729
成人早发2型糖尿病诊治专家共识,成人早发2型糖尿病诊治共识专家组,站内免费下载,https://guide.medlive.cn/guideline/27704
中西医结合防治儿童反复呼吸道感染专家共识,中国中西医结合学会儿科专业委员会,站内免费下载,https://guide.medlive.cn/guideline/27694
止血材料综合价值评估专家共识,中华医学会医学工程学分会,站内免费下载,https://guide.medlive.cn/guideline/27689
交界性卵巢肿瘤诊治中国专家共识（2022年版）,"中国优生科学协会(CHBSA,China Healthy Birth Science Association)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/27669
新型抗肿瘤药物临床应用指导原则（2022年版）,中华人民共和国国家卫生健康委员会,有其他版本站内免费下载,https://guide.medlive.cn/guideline/27666
老年髋部骨折诊疗与管理指南（2022年版）,中华人民共和国国家卫生健康委员会,有解读站内免费下载,https://guide.medlive.cn/guideline/27665
2022 WFSBP指南：强迫性行为障碍的评估和药物治疗,世界生物精神病学会联合会,站内免费下载,https://guide.medlive.cn/guideline/29371
中国膝骨关节炎基层诊疗与康复指南 （2022版）,"中华医学会骨科学分会(COA,Chinese Orthopaedic Association)",站内免费下载,https://guide.medlive.cn/guideline/28955
特殊人群新冠病毒感染诊疗救治专家共识,《实用休克杂志（中英文）》编委会,站内免费下载,https://guide.medlive.cn/guideline/28141
维护老年人认知功能营养专家共识,中国营养学会特殊营养分会,站内免费下载,https://guide.medlive.cn/guideline/27712
中国椎管内转移瘤诊疗专家共识,中国抗癌协会神经肿瘤专业委员会,站内免费下载,https://guide.medlive.cn/guideline/28054
复发性子宫颈癌综合诊治中国专家共识（2022年版）,中国医师协会微无创医学专业委员会,站内免费下载,https://guide.medlive.cn/guideline/27978
桥本甲状腺炎中西医结合诊疗北京专家共识（2021，北京）,北京中西医结合学会甲状腺病专业委员会,站内免费下载,https://guide.medlive.cn/guideline/27856
疝修补术后腹腔间隔室综合征预防与处理中国专家共识 （2022版）,疝修补术后腹腔间隔室综合征预防与处理专家共识编写委员会,站内免费下载,https://guide.medlive.cn/guideline/27753
中华医学会生殖医学分会人类辅助生殖技术知情同意书推荐范本,中华医学会生殖医学分会,站内免费下载,https://guide.medlive.cn/guideline/27693
CPCC晚期前列腺癌中国专家共识——转移性激素敏感性前列腺癌起始应用新型内分泌治疗的全程管理（2022年版）,中国前列腺癌研究协作组(CPCC),站内免费下载,https://guide.medlive.cn/guideline/27868
新型冠状病毒肺炎定点救治医院感染预防和控制专家共识,中国感染病相关专家组（统称）,站内免费下载,https://guide.medlive.cn/guideline/27735
紫杉类抗肿瘤药物药学服务中国专家共识,国家癌症中心,站内免费下载,https://guide.medlive.cn/guideline/27742
出血中心重症监护室护理建设专家共识,"中国研究型医院学会(CRHA,Chinese Research Hospital Association)",站内免费下载,https://guide.medlive.cn/guideline/27790
骨肿瘤二代测序及分子检测技术临床应用专家共识,中国抗癌协会骨肿瘤和骨转移瘤专业委员会,站内免费下载,https://guide.medlive.cn/guideline/27799
常见原发性tau蛋白病的tau蛋白PET脑显像技术操作规范及报告解读专家共识,中国神经内科相关专家小组（统称）,站内免费下载,https://guide.medlive.cn/guideline/27801
日间宫腔镜手术中心设置及管理流程中国专家共识,妇产科相关专家组（统称）,站内VIP下载,https://guide.medlive.cn/guideline/27763
自体单采富血小板血浆关节腔注射治疗膝骨关节炎的专家共识,中国输血协会,站内免费下载,https://guide.medlive.cn/guideline/27740
外阴癌前病变诊治中国专家共识（2022年版）,中国医师协会微无创医学专业委员会,站内免费下载,https://guide.medlive.cn/guideline/27672
老年健康综合评估与管理系统应用指南,四川大学华西医院,站内免费下载,https://guide.medlive.cn/guideline/27715
肺癌化疗原则专家共识,重庆市医学会肿瘤学分会,站内免费下载,https://guide.medlive.cn/guideline/27739
中国抗血栓药物相关出血诊疗规范专家共识,中国医药教育协会,站内免费下载,https://guide.medlive.cn/guideline/27771
冰冻红细胞质量评价指标专家共识,国防科技创新特区重点项目专家组,站内免费下载,https://guide.medlive.cn/guideline/27762
CT引导下不可逆电穿孔围手术期护理管理专家共识,中国医药教育协会介入微创治疗专业委员会,站内免费下载,https://guide.medlive.cn/guideline/28862
聚桂醇注射液治疗儿童静脉畸形中国专家共识,中国血管瘤血管畸形联盟,站内免费下载,https://guide.medlive.cn/guideline/28859
无精子症和重度少精子症遗传学筛查专家共识,中华医学会男科学分会,站内免费下载,https://guide.medlive.cn/guideline/28503
远程心电图危险分级诊断的中国专家共识,中国医疗保健国际交流促进会,站内免费下载,https://guide.medlive.cn/guideline/28921
多腺苷二磷酸核糖聚合酶抑制剂不良反应管理指导意见,浙江省医学会妇产科学分会,站内免费下载,https://guide.medlive.cn/guideline/28555
2022 ENMC共识声明：神经肌肉疾病患者的麻醉,"欧洲神经肌肉中心(ENMC,European Neuromuscular Centre)",站内免费下载,https://guide.medlive.cn/guideline/28627
2022 昆士兰临床指南：终止妊娠（V8）,"昆士兰卫生组织(QLD,Queensland Health)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/28362
山东省超药品说明书用药专家共识(2022版)系列—— 心血管药物超药品说明书用药专家共识,山东省药学会循证药学专业委员会,有其他版本站内免费下载,https://guide.medlive.cn/guideline/28332
肺血管病右心导管术操作指南,国家心血管病中心,站内免费下载,https://guide.medlive.cn/guideline/27663
2022 国际共识：髓系和淋巴系肿瘤的分类—骨髓增生性肿瘤,国外血液科相关专家小组,站内免费下载,https://guide.medlive.cn/guideline/27646
新型冠状病毒感染者恢复期健康管理专家指引（第一版）,北京市卫生健康委员会,站内免费下载,https://guide.medlive.cn/guideline/27643
新型冠状病毒感染相关性心肌炎简明诊治建议 （第一版）,北京清华长庚医院心血管中心,站内免费下载,https://guide.medlive.cn/guideline/27682
绝经过渡期和绝经后期子宫内膜增生长期管理中国专家共识（2022年版）,中国医药教育协会,站内免费下载,https://guide.medlive.cn/guideline/27661
肿瘤放化疗后白细胞减少症中西医结合治疗专家共识（2022年版）,中国中西医结合学会血液病专业委员会,站内免费下载,https://guide.medlive.cn/guideline/27634
中国老年患者围手术期感染防治的麻醉专家共识,中国老年医学学会,站内免费下载,https://guide.medlive.cn/guideline/27855
基层血脂管理适宜技术中国专家建议（2022 版）,国家心血管病专家委员会心血管代谢医学专业委员会,站内免费下载,https://guide.medlive.cn/guideline/27691
北京协和医院呼吸与危重症医学科新冠肺炎诊疗参考方案（2022 年12 月版）,北京协和医院相关科室专家,站内免费下载,https://guide.medlive.cn/guideline/27679
2022 JOS临床实践指南：儿童渗出性中耳炎的诊断和管理（更新版）,"日本耳科学会(JOS,Japan Otological Society)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/27645
2022 专家共识：脓毒症诱发免疫抑制的监测与治疗,"中国研究型医院学会(CRHA,Chinese Research Hospital Association)",站内免费下载,https://guide.medlive.cn/guideline/27611
辅助生殖围手术期用药医药护专家指引,广东省药学会,站内免费下载,https://guide.medlive.cn/guideline/29620
复合妊娠诊治中国专家共识（2022年版）,"中国优生科学协会(CHBSA,China Healthy Birth Science Association)",站内免费下载,https://guide.medlive.cn/guideline/27664
2022 韩国指南：抗生素在成人腹腔感染中的应用,"韩国感染病学会(KSID,Korean Society of Infectious Diseases)",站内免费下载,https://guide.medlive.cn/guideline/27685
中国胰腺囊性肿瘤诊断指南（2022年）,国家消化病临床医学研究中心(上海),站内免费下载,https://guide.medlive.cn/guideline/27640
老年缺血性脑卒中慢病管理指南,"中国老年学和老年医学学会(CAGG,China Association of Gerontology and Geriatrics)",站内免费下载,https://guide.medlive.cn/guideline/27616
中国偏头痛诊治指南（2022版）,中国医师协会神经内科医师分会,有其他版本站内免费下载,https://guide.medlive.cn/guideline/27612
中国胃肠胰神经内分泌肿瘤专家共识（2022年版）,CSCO 神经内分泌肿瘤专家委员会,有其他版本站内VIP下载,https://guide.medlive.cn/guideline/27642
发热伴血小板减少综合征诊疗共识,"中华医学会感染病学会分会(Society of Infectious Diseases,CMA)",站内VIP下载,https://guide.medlive.cn/guideline/27636
中国晚期乳腺癌规范诊疗指南（2022版）,国家肿瘤质控中心乳腺癌专家委员会,有其他版本站内VIP下载,https://guide.medlive.cn/guideline/27635
过敏性疾病诊治和预防专家共识（Ⅲ）,北京医学会,有其他版本站内VIP下载,https://guide.medlive.cn/guideline/27629
特发性膜性肾病中医临床实践指南（2021）,中华中医药学会肾病分会,站内免费下载,https://guide.medlive.cn/guideline/27613
2022 SOGC临床实践指南：产后出血与失血性休克（No.431）,"加拿大妇产科医生协会(SOGC,Society of Obstetricians and Gynaecologists of Canada)",站内免费下载,https://guide.medlive.cn/guideline/27608
中国腹膜透析管理现状白皮书,《中国腹膜透析管理现状白皮书》项目组,站内VIP下载,https://guide.medlive.cn/guideline/27606
2022 昆士兰临床指南：引产术（V8）,"昆士兰卫生组织(QLD,Queensland Health)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/28358
2022 法国专家共识：免疫重建疗法在复发性多发性硬化治疗中的地位,国外神经内科相关专家小组（统称）,站内免费下载,https://guide.medlive.cn/guideline/27617
成人术后口渴症状评估与管理的专家共识,王正国创伤医学基金会围术期加速康复护理联盟,站内免费下载,https://guide.medlive.cn/guideline/27592
2022 荷兰多学科指南：Dupuytren病,国外骨科相关专家小组（统称）,站内免费下载,https://guide.medlive.cn/guideline/28370
2022 KES立场声明：免疫检查点抑制剂和内分泌疾病,"韩国内分泌学会(KES,Korean Endocrine Society)",站内免费下载,https://guide.medlive.cn/guideline/27709
子痫前期科学防控专家共识,河南省妊娠期高血压及相关疾病领域的专家组,站内免费下载,https://guide.medlive.cn/guideline/27614
围产新生儿新型冠状病毒感染防控管理预案（第三版）,中国当代儿科杂志编辑委员会,有其他版本站内免费下载,https://guide.medlive.cn/guideline/27603
机器人完全不插管全胸腺切除术安全专家共识,中国胸心外科相关专家组（统称）,站内免费下载,https://guide.medlive.cn/guideline/27602
2022 ISPAD临床实践指南：儿童、青少年和年轻糖尿病患者的血糖目标和血糖监测,"国际儿童青少年糖尿病协会(ISPAD,International Society for Pediatric and Adolescent Diabetes)",站内免费下载,https://guide.medlive.cn/guideline/27600
2022 ISPAD临床实践指南：儿童青少年糖尿病患者运动,"国际儿童青少年糖尿病协会(ISPAD,International Society for Pediatric and Adolescent Diabetes)",有解读有其他版本站内免费下载,https://guide.medlive.cn/guideline/27599
中国荨麻疹诊疗指南（2022版）,中华医学会皮肤性病学分会,有其他版本会员可通过APP阅读,https://guide.medlive.cn/guideline/27627
中国带状疱疹诊疗专家共识（2022版）,中国医师协会皮肤科医师分会,有其他版本会员可通过APP阅读,https://guide.medlive.cn/guideline/27628
基于无创动态心输出量测量系统的被动抬腿负荷试验临床应用专家共识,中国医疗保健国际交流促进会,站内免费下载,https://guide.medlive.cn/guideline/27591
2022 JDS共识声明：2型糖尿病患者药物治疗流程,"日本糖尿病学会(JDS,Japan Diabetes Society)",站内免费下载,https://guide.medlive.cn/guideline/27623
2022 ESCMID/EUCIC临床实践指南：术前多重耐药前革兰氏阴性菌定植患者的围术期抗生素预防,"欧洲临床微生物与感染性疾病学会(ESCMID,European Society of Clinical Microbiology and Infectious Diseases)",第三方数据库下载,https://guide.medlive.cn/guideline/27951
2022 SFR建议：预防和治疗骨质疏松症的饮食,"法国风湿病学学会(SFR,French Society for Rheumatology)",站内免费下载,https://guide.medlive.cn/guideline/27667
2022 BAAPS/BAPRAS建议：抽脂术治疗脂肪水肿,"英国美容整形外科医师协会(BAAPS,British association of aesthetic plastic surgeons)",站内免费下载,https://guide.medlive.cn/guideline/27805
2022 EMAS立场声明：维生素D和绝经期健康,"欧洲女性与男性更年期协会(EMAS,European Menopause and Andropause Society)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/27624
2022 IWGGD指南：1型戈谢病的实验室诊断,"戈谢病国际工作组(IWGGD,International Working Group of Gaucher Disease)",站内免费下载,https://guide.medlive.cn/guideline/27585
2022 TES临床实践指南：成人恶性肿瘤高钙血症的治疗,"美国内分泌学会(TES,The Endocrine Society)",第三方数据库下载,https://guide.medlive.cn/guideline/27575
中国垂体瘤卒中诊治专家共识,中国垂体瘤协作组,站内免费下载,https://guide.medlive.cn/guideline/27571
儿童合理应用口服H1抗组胺药的临床实践指南（2022年版）,中国儿科相关医学专家组（统称）,站内免费下载,https://guide.medlive.cn/guideline/27573
2022 专家共识建议：苯巴那酯治疗期间伴随抗癫痫药物的剂量调整,国外神经内科相关专家小组（统称）,站内免费下载,https://guide.medlive.cn/guideline/28194
2022 专家建议：妊娠期、产后和哺乳期女性猴痘,国外感染病相关专家组（统称）,站内免费下载,https://guide.medlive.cn/guideline/27673
2022 JSNMT指南：标准化心肌灌注SPECT成像1.0,"日本核医学技术学会(JSNMT,Japanese Society of Nuclear Medicine Technology)",第三方数据库下载,https://guide.medlive.cn/guideline/27586
2022 ISPAD临床实践共识指南：儿童和青少年糖尿病教育,"国际儿童青少年糖尿病协会(ISPAD,International Society for Pediatric and Adolescent Diabetes)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/27579
2022 ISPAD临床实践共识指南：儿童和青少年囊性纤维相关糖尿病的管理,"国际儿童青少年糖尿病协会(ISPAD,International Society for Pediatric and Adolescent Diabetes)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/27578
2022 AAOS临床实践指南：四肢严重创伤后手术部位感染的预防（概要）,"美国骨科医师学会(AAOS,American Academy of Orthopaedic Surgeons)",站内免费下载,https://guide.medlive.cn/guideline/27577
2022 ISPAD临床实践共识指南：儿童和青少年糖尿病微血管和大血管并发症,"国际儿童青少年糖尿病协会(ISPAD,International Society for Pediatric and Adolescent Diabetes)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/27562
2022 ISPAD临床实践共识指南：糖尿病技术—血糖监测,"国际儿童青少年糖尿病协会(ISPAD,International Society for Pediatric and Adolescent Diabetes)",站内免费下载,https://guide.medlive.cn/guideline/27561
2022 ISPAD临床实践共识指南：学龄前儿童的糖尿病的管理,"国际儿童青少年糖尿病协会(ISPAD,International Society for Pediatric and Adolescent Diabetes)",站内免费下载,https://guide.medlive.cn/guideline/27560
2022 ISPAD临床实践共识指南：儿童和青少年糖尿病患者胰岛素治疗,"国际儿童青少年糖尿病协会(ISPAD,International Society for Pediatric and Adolescent Diabetes)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/27559
2022 ELN建议：多参数流式细胞术在骨髓异常增生评估中的应用—分析问题,"欧洲白血病网(ELN,European LeukmiaNet)",站内免费下载,https://guide.medlive.cn/guideline/27556
2022 ISPAD临床实践共识指南：儿童青少年糖尿病相关性并发症和其他并发症,"国际儿童青少年糖尿病协会(ISPAD,International Society for Pediatric and Adolescent Diabetes)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/27555
2022 ISPAD临床实践指南：儿童青少年单基因糖尿病的诊断和管理,"国际儿童青少年糖尿病协会(ISPAD,International Society for Pediatric and Adolescent Diabetes)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/27553
多原发早期肺癌诊疗专家共识,上海市医学会(ShangHai Medical Association),站内免费下载,https://guide.medlive.cn/guideline/27572
复发性流产抗血栓药物治疗中国专家共识,国家妇幼健康研究会生殖免疫学专业委员会,站内VIP下载,https://guide.medlive.cn/guideline/27630
便秘经肛给药治疗中国专家共识（2022版）,中国医师协会肛肠分会,站内VIP下载,https://guide.medlive.cn/guideline/27580
2022 ISPAD临床实践指南：儿童和青少年糖尿病患者的低血糖的评估和管理,"国际儿童青少年糖尿病协会(ISPAD,International Society for Pediatric and Adolescent Diabetes)",站内免费下载,https://guide.medlive.cn/guideline/27554
板蓝根滴眼液治疗细菌性结膜炎临床应用专家共识,中华中医药学会眼科分会,站内免费下载,https://guide.medlive.cn/guideline/27551
2022 ISTH指南：使用抗血栓药物或合并血小板减少的肿瘤患者进行侵入性操作时的围手术期管理,"国际血栓与止血学会(ISTH,International Society on Thrombosis and Haemostasis)",有解读第三方数据库下载,https://guide.medlive.cn/guideline/28282
2022 昆士兰临床指南：新生儿癫痫（V4）,"昆士兰卫生组织(QLD,Queensland Health)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/28317
2022 昆士兰临床指南：正常分娩（V4）,"昆士兰卫生组织(QLD,Queensland Health)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/28326
2022 昆士兰临床指南：新生儿黄疸（V9）,"昆士兰卫生组织(QLD,Queensland Health)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/28328
结直肠癌患者的营养治疗专家共识,中国抗癌协会肿瘤营养与支持治疗专业委员会,站内免费下载,https://guide.medlive.cn/guideline/27644
2022 NICE指南：甲状腺癌的评估和管理（NG.230）,"英国国家卫生与临床优化研究所 (NICE,National Institute for Health and Clinical Excellence)",第三方数据库下载,https://guide.medlive.cn/guideline/27626
2023 STS/SCA/AmSECT临床实践指南：成人心脏手术相关急性肾损伤的预防,"美国胸外科医师学会(STS,Society of Thoracic Surgeons)",站内免费下载,https://guide.medlive.cn/guideline/27550
2022 HSFC加拿大卒中最佳实践建议（第7版）：急性卒中的管理（更新版）,"加拿大心脏与卒中基金会(HSFC,Heart and Stroke Foundation of Canada)",有其他版本第三方数据库下载,https://guide.medlive.cn/guideline/27541
2022 AATS专家共识：婴儿和新生儿法洛四联症的管理,"美国胸外科协会(AATS,American Association for Thoracic Surgery)",第三方数据库下载,https://guide.medlive.cn/guideline/27529
2022 多学会共识指南：胃食管反流病的治疗,国外消化科相关专家小组（统称）,站内免费下载,https://guide.medlive.cn/guideline/27545
2022 ECCO指南：炎症性肠病和恶性肿瘤,"欧洲克罗恩病和结肠炎组织(ECCO,European Cron's and Colitis Organisation)",有其他版本第三方数据库下载,https://guide.medlive.cn/guideline/28915
阿兹夫定治疗新型冠状病毒肺炎河南药学专家共识,河南省药学会,站内免费下载,https://guide.medlive.cn/guideline/27632
内镜辅助后入路腰椎管狭窄减压手术专家共识（2022）,北京医学会,站内免费下载,https://guide.medlive.cn/guideline/30684
2022 ESMO临床实践指南：原发灶不明肿瘤的诊断，治疗和随访,"欧洲肿瘤内科学会(ESMO,European Society for Medical Oncology)",有其他版本第三方数据库下载,https://guide.medlive.cn/guideline/27593
2022 SFR建议：肌肉骨骼皮质类固醇注射,"法国风湿病学学会(SFR,French Society for Rheumatology)",站内免费下载,https://guide.medlive.cn/guideline/27546
2022 AHA科学声明：先天性心脏病儿童进行非心脏手术的围手术期注意事项,"美国心脏协会(AHA,American Heart Association)",第三方数据库下载,https://guide.medlive.cn/guideline/27524
2023 ASA实践指南：神经肌肉阻滞的监测和拮抗,"美国麻醉医师协会(ASA,American Society of Anesthesiologists)",第三方数据库下载,https://guide.medlive.cn/guideline/27517
2022 WHO综合指南：结核病——治疗：耐药结核病治疗（更新版）,"世界卫生组织(WHO,The World Health Organization)",有解读有其他版本站内免费下载,https://guide.medlive.cn/guideline/27919
2022 亚洲专家组共识：子宫内膜异位症的临床诊断和早期医疗管理,亚洲妇产科专家小组（统称）,站内免费下载,https://guide.medlive.cn/guideline/27596
2022 RSSDI指南：糖尿病患者高血压的管理,"印度糖尿病研究学会(RSSDI,Research Society for the Study of Diabetes in India)",第三方数据库下载,https://guide.medlive.cn/guideline/27552
胰岛素抵抗相关临床问题专家共识（2022版）,"中华医学会糖尿病学分会(CDS,Chinese Diabetes Society)",会员可通过APP阅读,https://guide.medlive.cn/guideline/27535
缺血伴非阻塞性冠状动脉疾病诊断及管理中国专家共识,中华医学会心血管病学分会(Chinese Society of Cardiology),会员可通过APP阅读,https://guide.medlive.cn/guideline/27540
2022 NICE指南：产时胎儿监护（NG.229）,"英国国家卫生与临床优化研究所 (NICE,National Institute for Health and Clinical Excellence)",第三方数据库下载,https://guide.medlive.cn/guideline/27513
2022 专家共识声明：omega-3脂肪酸在心血管疾病预防和治疗中的作用,中国心血管病相关专家小组（统称）,有其他版本站内免费下载,https://guide.medlive.cn/guideline/27650
2022 AASM临床实践指南：快速动眼期睡眠行为障碍的管理,"美国睡眠医学会(AASM,American Academy of Sleep Medicine)",有其他版本第三方数据库下载,https://guide.medlive.cn/guideline/27523
2022 UK最佳实践指南：线粒体疾病的基因检测,国外遗传代谢性疾病专家组（统称）,站内免费下载,https://guide.medlive.cn/guideline/27518
成人流行性感冒诊疗规范急诊专家共识（2022版）,"中国医师协会急诊医师分会(CHINESE COLLEGE OF EMERGENCY PHYSICANS,CCEP)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/27512
2022 国家专家组共识意见：毛细胞白血病的可测量残留病变,国外血液科相关专家小组,站内免费下载,https://guide.medlive.cn/guideline/27508
2022 SEIMC共识：碳青霉烯耐药革兰阴性菌感染的诊断和抗菌治疗（概要）,"西班牙临床微生物和传染病学会(SEIMC,Spanish Society of Clinical Microbiologyand Infectious Diseases)",站内免费下载,https://guide.medlive.cn/guideline/27547
2023 ADA 糖尿病医学诊疗标准,"美国糖尿病学会(ADA,American Diabetes Association)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/27484
2022 ASGE指南：ERCP后胰腺炎的预防策略,"美国胃肠内镜学会(ASGE,American Society for Gastrointestinal Endoscopy)",站内免费下载,https://guide.medlive.cn/guideline/27522
2022 DPWG指南：CYP2D6和COMT与阿托西汀和哌醋甲酯的基因-药物相互作用,"荷兰药物基因学工作组(DPWG,Dutch pharmacogenetics working group)",站内免费下载,https://guide.medlive.cn/guideline/27504
2022 AHA科学声明：老年人群急性冠状动脉综合征的管理,"美国心脏协会(AHA,American Heart Association)",第三方数据库下载,https://guide.medlive.cn/guideline/27483
2022 BHIVA指南：成年HIV-1患者抗逆转录病毒治疗,"英国艾滋病协会(BHIVA,British HIV Association)",有其他版本第三方数据库下载,https://guide.medlive.cn/guideline/27482
系统性红斑狼疮患者疫苗接种专家共识,浙江省预防医学会风湿病预防与控制专业委员会,站内免费下载,https://guide.medlive.cn/guideline/27500
新型冠状病毒肺炎后认知障碍诊治和管理共识,中国医师协会神经内科医师分会,站内免费下载,https://guide.medlive.cn/guideline/27526
2022 意大利指南：肠易激综合征的管理,"意大利胃肠病学和胃肠内镜学会(SIGE,Italian Society of Gastroenterology and Gastrointestinal Endoscopy)",站内免费下载,https://guide.medlive.cn/guideline/27519
2022 循证共识临床实践指南：中年女性超重和肥胖的管理,国外内分泌相关专家小组（统称）,站内免费下载,https://guide.medlive.cn/guideline/28400
2022 AGIHO指南：癌症患者COVID-19的循证管理—根据奥密克戎变种的疫苗接种，药物预防和治疗（更新）,"德国血液学和肿瘤学学会(DGHO,German Society of Hematology and Oncology)",站内免费下载,https://guide.medlive.cn/guideline/27851
中西医结合诊疗勃起功能障碍专家共识,中国中西医结合学会泌尿外科专业委员会,站内免费下载,https://guide.medlive.cn/guideline/27497
国家糖尿病基层中医防治管理指南（2022）,中华中医药学会糖尿病基层防治专家指导委员会,站内免费下载,https://guide.medlive.cn/guideline/27510
变应性支气管肺曲霉病诊治专家共识（2022年修订版）,中华医学会呼吸病学分会哮喘学组,有其他版本会员可通过APP阅读,https://guide.medlive.cn/guideline/27488
慢性阻塞性肺疾病合并心血管疾病诊治管理专家共识,中华医学会呼吸病学分会慢性阻塞性肺疾病学组,会员可通过APP阅读,https://guide.medlive.cn/guideline/27485
2022 中国共识声明：外侧半月板病变诊断与治疗指南（英文）,中华医学会运动医疗分会,站内免费下载,https://guide.medlive.cn/guideline/27542
2021 JCS/JACR指南：心血管疾病患者康复,"日本循环学会(JCS,Japanese Circulation Society)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/27481
