标题,来源,下载方式,链接
2019 JSHBPS临床实践指南：胆道肿瘤的管理（第3版英文版）,"日本肝胆胰腺外科学会(JSHBPS,Japanese Society of Hepato-Biliary-Pancreatic Surgery)",有解读有翻译有其他版本第三方数据库下载,https://guide.medlive.cn/guideline/22439
新型冠状病毒肺炎疫情防控期间足踝部创伤诊疗专家共识,中华足踝医学教育学院专家委员会,站内免费下载,https://guide.medlive.cn/guideline/22304
5G远程超声技术应用专家共识,中华人民共和国国家卫生健康委员会,站内免费下载,https://guide.medlive.cn/guideline/23135
特殊健康状态儿童非免疫规划疫苗接种专家系列共识之一——轮状病毒疫苗,"中华预防医学会(CPMA,Chinese Preventive Medicine Association)",站内免费下载,https://guide.medlive.cn/guideline/22430
口服银杏叶制剂临床应用中国专家共识（2020）,"中国医师协会中西医结合医师分会(DSIM/CMDA,Doctor Society of integrative Medicine，Chinese Medical Doctor Association)",站内免费下载,https://guide.medlive.cn/guideline/22384
八宝丹胶囊治疗病毒性肝炎临床应用专家共识,"中华中医药学会(CACM,China Association of Chinese Medcine)",站内免费下载,https://guide.medlive.cn/guideline/22373
新型冠状病毒肺炎中西医结合防治专家共识,"中国中西医结合学会(CAIM,Chinese Association of Integrative Medicine)",站内免费下载,https://guide.medlive.cn/guideline/22370
中国手癣和足癣诊疗指南（基层实践版2020）,中国手癣和足癣诊疗指南工作组,有其他版本站内免费下载,https://guide.medlive.cn/guideline/22328
肝细胞癌生物标志物检测及应用专家共识,"中华医学会检验医学分会(CSLM,Chinese Sciety of Laboratory Medicine)",站内免费下载,https://guide.medlive.cn/guideline/22312
偏头痛与抑郁障碍共病诊治中国专家共识,中国医师协会神经内科医师分会,站内免费下载,https://guide.medlive.cn/guideline/22307
耳穴电刺激治疗抑郁症临床应用专家共识,中国针灸学会,站内免费下载,https://guide.medlive.cn/guideline/22301
医疗机构中乙型肝炎病毒、丙型肝炎病毒、人类免疫缺陷病毒（1+2型）核酸检测策略专家共识,中国医师协会输血科医师分会,站内免费下载,https://guide.medlive.cn/guideline/22285
慢性便秘基层诊疗指南（2019年）,"中华医学会(CMA,Chinese Medical Association)",有其他版本会员可通过APP阅读,https://guide.medlive.cn/guideline/22283
ST段抬高型心肌梗死基层诊疗指南（2019年）,"中华医学会(CMA,Chinese Medical Association)",有其他版本会员可通过APP阅读,https://guide.medlive.cn/guideline/22279
2020 BSE实践指南：成人全面经胸超声心动图检查,"英国超声心动图学会(BSE,British Society of Echocardiography)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/22824
2020 SNMMI程序标准/EANM实践指南：儿童肿瘤18 F-FDG PETCT检查（1.0）,"核医学和分子影像学学会(SNMMI,Society Of Nuclear Medicine And Molecular Imaging)",站内免费下载,https://guide.medlive.cn/guideline/22262
中国肝癌多学科综合治疗专家共识,"中国抗癌协会肝癌专业委员会(CSLC,Chinese Society of Liver Cancer)",站内免费下载,https://guide.medlive.cn/guideline/22266
2020-2025 美国膳食指南（第9版）,"美国膳食指南咨询委员会(DGAC,Dietary Guidelines Advisory Committee)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/22412
2020 bárány学会/IHS共识文件：儿童期前庭性偏头痛与儿童期复发性眩晕的诊断标准,Barany学会(Bárány Society),有翻译站内免费下载,https://guide.medlive.cn/guideline/22374
颈动脉与冠状动脉同期血运重建专家共识,北京神经内科学会,站内免费下载,https://guide.medlive.cn/guideline/22345
2020 SIGN英国国家指南：COVID-19长期影响的管理（161）,"苏格兰校际指南网络(SIGN,Scottish Intercollegiate Guidelines Network)",站内免费下载,https://guide.medlive.cn/guideline/22311
2020 CDC指南：淋球菌感染的治疗（更新版）,"美国疾病控制与预防中心(CDC,Centers for Disease Control and Prevention)",有解读第三方数据库下载,https://guide.medlive.cn/guideline/22243
2020 EACVI/ESC意见书：成人单纯分流性病变的影像学检查,"欧洲协会心血管影像协会(EACVI,European Association of Cardiovascular Imaging)",第三方数据库下载,https://guide.medlive.cn/guideline/22275
2020 AISF/SIMTI意见书：肝硬化患者白蛋白的合理应用,"意大利肝病学会(AISF,Italian Association for the Study of the Liver)",有其他版本第三方数据库下载,https://guide.medlive.cn/guideline/22352
2020 SISET意见书：肝素诱导的血小板减少症,"意大利血瘀血栓学会(SISET,Italian Society for Haemostasis and Thrombosis)",第三方数据库下载,https://guide.medlive.cn/guideline/22398
2020 ACC/AHA指南：心脏瓣膜病患者的管理（概要）,"美国心脏病学会(ACC,American College of Cardiology)",有其他版本第三方数据库下载,https://guide.medlive.cn/guideline/23208
2020 ACC/AHA指南：心脏瓣膜病患者的管理,"美国心脏病学会(ACC,American College of Cardiology)",有其他版本第三方数据库下载,https://guide.medlive.cn/guideline/22242
2020 NICE指南：COVID-19快速指南—维生素D,"英国国家卫生与临床优化研究所 (NICE,National Institute for Health and Clinical Excellence)",站内免费下载,https://guide.medlive.cn/guideline/22248
2020 ERS声明：慢性血栓栓塞性肺动脉高压,"欧洲呼吸学会(ERS,European Respiratory Society)",有解读第三方数据库下载,https://guide.medlive.cn/guideline/22263
2020 ESHRE实践建议：超声描述正常妊娠和异位妊娠术语,"欧洲人类生殖及胚胎学会(ESHRE,European Society of Human Reproduction and Embryology)",站内免费下载,https://guide.medlive.cn/guideline/22299
中国糖尿病远程管理专家共识（2020 版）,国家远程医疗与互联网医学中心糖尿病学专家委员会,站内免费下载,https://guide.medlive.cn/guideline/22245
2020 ESPGHAN意见书：单基因型炎症性肠病的临床基因组学诊断,"欧洲儿科胃肠病学、肝病学和营养协会(ESPGHAN,European Society for Paediatric Gastroenterology, Hepatology, and Nutrition)",第三方数据库下载,https://guide.medlive.cn/guideline/22276
2020 ESMO/EURACAN临床实践指南：鼻咽癌的诊断，治疗和随访,"欧洲肿瘤内科学会(ESMO,European Society for Medical Oncology)",有其他版本第三方数据库下载,https://guide.medlive.cn/guideline/22329
晚期非小细胞肺癌抗血管生成药物治疗中国专家共识（2020版）,中国临床肿瘤学会血管靶向治疗专家委员会,有其他版本会员可通过APP阅读,https://guide.medlive.cn/guideline/22402
慢性阻塞性肺疾病中医康复指南,世界中医药学会联合会,站内免费下载,https://guide.medlive.cn/guideline/22246
骨质疏松症患者实践指南,中国风湿免疫科相关专家小组（统称）,会员可通过APP阅读,https://guide.medlive.cn/guideline/22228
肺炎球菌性疾病免疫预防专家共识（2020版）,"中华预防医学会(CPMA,Chinese Preventive Medicine Association)",有其他版本会员可通过APP阅读,https://guide.medlive.cn/guideline/22226
2018 JSSI指南：胃肠外科手术部位感染的预防，检测和管理,"日本外科感染学会(JSSI,Japan Society for Surgical Infection)",站内免费下载,https://guide.medlive.cn/guideline/22225
2020 USPSTF建议声明：青少年和成人乙型肝炎病毒感染的筛查,"美国预防医学工作组(USPSTF,U.S. Preventive Services Task Force)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/22229
2020 SFORL指南：COVID-19流行期间眩晕患者的远程会诊,"法国耳鼻喉科学会(SFORL,French Society of Otorhinolaryngology)",第三方数据库下载,https://guide.medlive.cn/guideline/23449
2020 儿童肾脏营养工作组临床实践建议：儿童肾脏疾病患者营养状况评估,"儿童肾脏营养工作组(PRNT,Pediatric Renal Nutrition Taskforce)",站内免费下载,https://guide.medlive.cn/guideline/22232
2020 ACG临床指南：肠易激综合征的管理,"美国胃肠病学会(ACG,American College of Gastroenterology)",有其他版本第三方数据库下载,https://guide.medlive.cn/guideline/22224
2020 ASA共识声明：肾移植术中的液体管理,"美国麻醉医师协会(ASA,American Society of Anesthesiologists)",站内免费下载,https://guide.medlive.cn/guideline/22237
2020 多中心意大利共识建议：遗传性转甲状腺素淀粉样变性的症状前基因检测,国外神经内科相关专家小组（统称）,站内免费下载,https://guide.medlive.cn/guideline/22240
2019 亚洲专家组声明：动态血压监测(ABPM)指南,亚洲心血管专家小组（统称）,有其他版本站内免费下载,https://guide.medlive.cn/guideline/22241
中国颅内外大动脉非急性闭塞血管内介入治疗专家共识,中华医学会神经病学分会,会员可通过APP阅读,https://guide.medlive.cn/guideline/22218
2020 澳大利亚建议：肝细胞癌的管理,国外肿瘤科相关专家小组（统称）,站内免费下载,https://guide.medlive.cn/guideline/22236
慢性心力衰竭心脏康复中国专家共识,中国康复医学会(Chinese Association Of Rehabilitation Medicine),有其他版本会员可通过APP阅读,https://guide.medlive.cn/guideline/22216
2020 新西兰指南：息肉监测（更新版）,新西兰卫生部(New Zealand Ministry of Health),站内免费下载,https://guide.medlive.cn/guideline/22778
2020 昆士兰临床指南：妊娠期梅毒,"昆士兰卫生组织(QLD,Queensland Health)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/22454
儿童轮状病毒胃肠炎免疫预防专家共识（2020版）,"中华预防医学会(CPMA,Chinese Preventive Medicine Association)",有其他版本会员可通过APP阅读,https://guide.medlive.cn/guideline/22215
2020 ESER指南：多发伤影像学检查和服务,"欧洲急诊放射医学学会(ESER,European Society of Emergency Radiology)",站内免费下载,https://guide.medlive.cn/guideline/22208
中国儿童维生素A、维生素D临床应用专家共识,"中华预防医学会(CPMA,Chinese Preventive Medicine Association)",站内免费下载,https://guide.medlive.cn/guideline/22271
肝胆胰恶性肿瘤腹腔化疗专家共识（2020版）,肝胆胰恶性肿瘤腹腔化疗专家组,站内免费下载,https://guide.medlive.cn/guideline/22231
2021 ADA 糖尿病医学诊疗标准,"美国糖尿病学会(ADA,American Diabetes Association)",有解读有其他版本第三方数据库下载,https://guide.medlive.cn/guideline/22204
2020 AUA/ASRM指南：男性不育的诊断和治疗,"美国泌尿外科学会(AUA,American Urological Association)",站内免费下载,https://guide.medlive.cn/guideline/22191
2020 ESTRO指南：颅底肿瘤靶区勾画,"欧洲放射肿瘤学学会(ESTRO,European Society of Radiotherapy & Oncology)",站内免费下载,https://guide.medlive.cn/guideline/22227
经皮穿刺冷热多模态消融治疗肺部恶性肿瘤操作规范专家共识,中国抗癌协会肿瘤介入专家委员会,站内免费下载,https://guide.medlive.cn/guideline/22195
早期妊娠稽留流产围手术期检查及优生检查建议专家共识,中华医学会计划生育学分会,站内免费下载,https://guide.medlive.cn/guideline/22192
2020 EANO指南：成人弥漫性胶质瘤的诊断和治疗,"欧洲神经肿瘤协会(EANO,European Association for Neuro-Oncology)",站内免费下载,https://guide.medlive.cn/guideline/22190
2020 SITC临床实践指南：免疫效应细胞相关不良事件,"肿瘤免疫治疗学会(SITC,Society for Immunotherapy of Cancer)",站内免费下载,https://guide.medlive.cn/guideline/22259
2020 SITC临床实践指南：淋巴瘤的免疫治疗,"肿瘤免疫治疗学会(SITC,Society for Immunotherapy of Cancer)",站内免费下载,https://guide.medlive.cn/guideline/22330
精神障碍诊疗规范（2020年版）,中华人民共和国国家卫生健康委员会,站内免费下载,https://guide.medlive.cn/guideline/22175
2020 国际循证共识：单中心型Castleman病的诊断和治疗指南,国外血液科相关专家小组,第三方数据库下载,https://guide.medlive.cn/guideline/22167
妇科手术部位感染防控的专家共识（2020年版）,山东省疼痛医学会,站内免费下载,https://guide.medlive.cn/guideline/22199
儿童先天性梨状窝瘘诊断与治疗临床实践指南,中国妇幼保健学会微创分会儿童耳鼻咽喉学组,站内免费下载,https://guide.medlive.cn/guideline/22188
2020 ESMO临床实践指南：癌症患者呼吸困难的管理,"欧洲肿瘤内科学会(ESMO,European Society for Medical Oncology)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/22207
2020 EANM/SNMMI实践指南：子宫颈癌18 F-FDG PET/CT 外照射放射治疗方案,"欧洲核医学协会(EANM,European Association of Nuclear Medicine)",站内免费下载,https://guide.medlive.cn/guideline/22160
2020 ESNM建议：食管高分辨率测压术的应用,"欧洲神经胃肠病学与动力学会(ESNM,European Society of Neurogastroenterology and Motility)",站内免费下载,https://guide.medlive.cn/guideline/22164
质子泵抑制剂临床应用指导原则（2020版）,中华人民共和国国家卫生健康委员会,站内免费下载,https://guide.medlive.cn/guideline/22203
2020 跨学科共识声明：心脏淀粉样变性的诊断和治疗,国外心血管相关专家小组（统称）,站内免费下载,https://guide.medlive.cn/guideline/22151
2020 ISPD指南：腹膜透析在急性肾损伤中的应用（成人）,"国际腹膜透析协会(ISPD,International Society for peritoneal dialysis)",有解读有其他版本第三方数据库下载,https://guide.medlive.cn/guideline/22147
2020 国家哮喘教育和预防计划指南：青少年和成人哮喘的管理,国外呼吸科专家组（统称）,站内免费下载,https://guide.medlive.cn/guideline/22171
2020 ESPEN实践指南：肝病的临床营养,"欧洲临床营养和代谢学会(ESPEN,The European Society for Clinical Nutrition and Metabolism)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/22181
口腔癌合并全身系统性疾病患者的多学科协作诊疗模式专家共识,中国口腔科相关专家组（统称）,站内免费下载,https://guide.medlive.cn/guideline/22166
先天性心脏病外科治疗中国专家共识（十二）：先天性冠状动脉异常,国家心血管病专家委员会先天性心脏病专业委员会,有其他版本站内免费下载,https://guide.medlive.cn/guideline/22144
2020 BHIVA指南：HIV感染者机会性感染的管理—胃肠道机会性感染,"英国艾滋病协会(BHIVA,British HIV Association)",站内免费下载,https://guide.medlive.cn/guideline/22158
2020 BTS临床声明：肺结节病,"英国胸科协会(BTS,British Thoracic Society)",站内免费下载,https://guide.medlive.cn/guideline/22152
2020 AA指南：髋部骨折的管理,"麻醉医师协会（英国）(AA,Association of Anaesthetists)",站内免费下载,https://guide.medlive.cn/guideline/22177
2020 SOGC指南：慢性病毒感染女性宫内胎儿诊断检测（No.409）,"加拿大妇产科医生协会(SOGC,Society of Obstetricians and Gynaecologists of Canada)",站内免费下载,https://guide.medlive.cn/guideline/22234
2020 ESC/ISACHD意见书：先天性心脏病患者COVID-19,"欧洲心脏病学会(ESC,European Society of Cardiology)",第三方数据库下载,https://guide.medlive.cn/guideline/22322
慢性肾脏病高钾血症风险评估及管理专家建议（2020版）,肾脏病相关专家小组（统称）,会员可通过APP阅读,https://guide.medlive.cn/guideline/22220
2020 ESGE指南：成人肠管的内镜管理—第1部分：定义和适应证,"欧洲胃肠道内窥镜学会(ESGE,European Society of Gastrointestinal Endoscopy)",有其他版本第三方数据库下载,https://guide.medlive.cn/guideline/22150
2020 AIOM指南：早期结肠癌患者的管理,"意大利肿瘤医学协会(AIOM,Italian Association of Medical Oncology)",站内免费下载,https://guide.medlive.cn/guideline/22143
2020 TES临床实践指南：内分泌疾病患者的血脂管理,"美国内分泌学会(TES,The Endocrine Society)",有解读第三方数据库下载,https://guide.medlive.cn/guideline/22163
2017 KSPE临床实践指南：儿童和青少年血脂异常,"韩国儿童内分泌学会(KSPE,Korean Society of Pediatric Endocrinology)",站内免费下载,https://guide.medlive.cn/guideline/22265
腹腔镜肝切除术治疗肝细胞癌中国专家共识（2020版）,"中国研究型医院学会(CRHA,Chinese Research Hospital Association)",站内免费下载,https://guide.medlive.cn/guideline/22286
多巴胺D2受体拮抗剂消化专科合理应用中国专家意见,中国消化科相关专家小组（统称）,站内免费下载,https://guide.medlive.cn/guideline/23572
脓毒症免疫抑制诊治专家共识,"中国研究型医院学会(CRHA,Chinese Research Hospital Association)",会员可通过APP阅读,https://guide.medlive.cn/guideline/23031
浆膜腔积液细胞形态学检验中国专家共识（2020）,中国检验科相关专家小组（统称）,有其他版本站内免费下载,https://guide.medlive.cn/guideline/22667
布-加综合征外科治疗规范的专家共识,"中国微循环学会(CMS,Chinese Society of Microcirculation)",站内免费下载,https://guide.medlive.cn/guideline/22662
