标题,来源,下载方式,链接
婴幼儿白内障术前评估与LOCS-UP分型方法及其应用的专家共识（2023）,中国医药教育协会,站内免费下载,https://guide.medlive.cn/guideline/30907
精神药物安全性评价的实践共识,中国精神药物临床试验协作网,站内免费下载,https://guide.medlive.cn/guideline/30875
毒蛇致伤临床诊治专家共识,湖北省中毒与职业病救治联盟,站内免费下载,https://guide.medlive.cn/guideline/30746
中国髋、膝关节置换日间手术围手术期管理专家共识,中华医学会骨科学分会,站内免费下载,https://guide.medlive.cn/guideline/30742
体外膜肺氧合辅助循环崩溃高风险经导管主动脉瓣置换术技术要点专家共识,中国医疗保健国际交流促进会,站内免费下载,https://guide.medlive.cn/guideline/30734
国家心力衰竭指南2023（精简版）,国家心血管病中心,有其他版本站内免费下载,https://guide.medlive.cn/guideline/30699
真性红细胞增多症中西医结合诊疗专家共识（2022年）,世界中医药学会联合会,站内免费下载,https://guide.medlive.cn/guideline/30487
艾滋病免疫重建不全临床诊疗专家共识（2023版）,中华医学会感染病学会分会,站内免费下载,https://guide.medlive.cn/guideline/31343
左心耳干预预防心房颤动患者血栓栓塞事件：目前的认识和建议（2023）,中华医学会心电生理和起搏分会,有其他版本会员可通过APP阅读,https://guide.medlive.cn/guideline/30824
肺爆震伤临床救治指南（2023 版）,中华医学会创伤学分会,会员可通过APP阅读,https://guide.medlive.cn/guideline/30709
2023 GFCH指南：细胞遗传学在急性髓性白血病和组织细胞/树突状细胞肿瘤管理中的应用,法国血液细胞遗传学小组,站内免费下载,https://guide.medlive.cn/guideline/30817
中国吞咽障碍康复管理指南（2023版）,中国康复医学会,会员可通过APP阅读,https://guide.medlive.cn/guideline/30721
腹腔镜门静脉流域解剖性肝切除理论及技术标准中国专家共识（2023版）,中华消化外科杂志编委会,站内免费下载,https://guide.medlive.cn/guideline/30718
2023 TDA共识建议：化脓性汗腺炎的定义、分类、诊断和治疗,中国台湾皮肤科医学会,站内免费下载,https://guide.medlive.cn/guideline/30717
微肿瘤模型构建及其药敏检测技术中国专家共识 （2023年版）,中国生物医学工程学会,站内免费下载,https://guide.medlive.cn/guideline/30714
2023 WHO指南：5岁以下婴幼儿消瘦和营养性水肿（急性营养不良）的预防和管理,世界卫生组织,站内免费下载,https://guide.medlive.cn/guideline/31301
2023 GFCH指南：细胞遗传学在T细胞急性淋巴细胞白血病管理中的应用,法国血液细胞遗传学小组,站内免费下载,https://guide.medlive.cn/guideline/30816
2023 EAACI/ENDA意见书：药物激发试验,欧洲变应性反应与临床免疫学会,站内免费下载,https://guide.medlive.cn/guideline/30719
细菌性痢疾诊疗方案 （2023年版）,中华人民共和国国家卫生健康委员会,站内免费下载,https://guide.medlive.cn/guideline/30712
鼠疫诊疗方案（2023年版）,中华人民共和国国家卫生健康委员会,站内免费下载,https://guide.medlive.cn/guideline/30711
霍乱诊疗方案（2023 年版）,中华人民共和国国家卫生健康委员会,站内免费下载,https://guide.medlive.cn/guideline/30710
炭疽诊疗方案 （2023年版）,中华人民共和国国家卫生健康委员会,站内免费下载,https://guide.medlive.cn/guideline/30708
流行性脑脊髓膜炎诊疗方案 （2023年版）,中华人民共和国国家卫生健康委员会,站内免费下载,https://guide.medlive.cn/guideline/30707
百日咳诊疗方案（2023 年版）,中华人民共和国国家卫生健康委员会,站内免费下载,https://guide.medlive.cn/guideline/30705
猩红热诊疗方案（2023年版）,中华人民共和国国家卫生健康委员会,站内免费下载,https://guide.medlive.cn/guideline/30704
布鲁氏菌病诊疗方案（2023年版）,中华人民共和国国家卫生健康委员会,有其他版本站内免费下载,https://guide.medlive.cn/guideline/30703
黑热病诊疗方案（2023年版）,中华人民共和国国家卫生健康委员会,站内免费下载,https://guide.medlive.cn/guideline/30702
水痘诊疗方案（2023年版）,中华人民共和国国家卫生健康委员会,站内免费下载,https://guide.medlive.cn/guideline/30701
始发表现为轻型卒中的急性大血管闭塞的血管内治疗中国专家共识2023,中国卒中学会,站内免费下载,https://guide.medlive.cn/guideline/30695
乳腺癌多学科诊疗标准与规范（2023年版）,中国抗癌协会乳腺癌专业委员会,站内免费下载,https://guide.medlive.cn/guideline/30694
2023 APSF共识建议：围手术期血流动力学不稳定患者,麻醉患者安全基金会,站内免费下载,https://guide.medlive.cn/guideline/30689
2023 SICUT指南：高危、重症和不适合手术的急性胆囊炎患者的管理,意大利急诊外科和创伤学会,站内免费下载,https://guide.medlive.cn/guideline/30688
高危前列腺癌围手术期综合治疗专家共识（2023年版）,中国抗癌协会男性生殖系统肿瘤专业委员会,站内免费下载,https://guide.medlive.cn/guideline/30687
中国抗癌协会乳腺癌诊治指南与规范 （2024年版）,中国抗癌协会乳腺癌专业委员会,有其他版本站内免费下载,https://guide.medlive.cn/guideline/30685
重症患者凝血酶原复合物合理应用中国专家共识,中国医药教育协会,站内免费下载,https://guide.medlive.cn/guideline/30772
2023 GFCH指南：细胞遗传学在胚系易感血液肿瘤管理中的应用,法国血液细胞遗传学小组,站内免费下载,https://guide.medlive.cn/guideline/30794
2023 KSGO临床指南：卵巢癌,韩国妇科肿瘤学会,有其他版本站内免费下载,https://guide.medlive.cn/guideline/30761
2023 ESPEN/ESPGHAN/ECFS指南：囊性纤维化的营养护理,欧洲临床营养和代谢学会,有其他版本站内免费下载,https://guide.medlive.cn/guideline/30747
2023 ESPEN实践指南：急性和慢性胰腺炎的临床营养,欧洲临床营养和代谢学会,有其他版本站内免费下载,https://guide.medlive.cn/guideline/30745
社区成人血脂管理中国专家共识（2024年）,海峡两岸医药卫生交流协会全科医学分会,会员可通过APP阅读,https://guide.medlive.cn/guideline/30683
癌症相关性疼痛评估中国专家共识（2023 版）,中国医师协会疼痛科医师分会,站内免费下载,https://guide.medlive.cn/guideline/30679
2023 临床共识：临时机械循环支持的临床应用与管理,中国医师协会心血管外科医师分会,站内免费下载,https://guide.medlive.cn/guideline/30897
慢性光化性皮炎诊疗专家共识（2023版）,中国研究型医院学会,会员可通过APP阅读,https://guide.medlive.cn/guideline/30738
冠状动脉介入-肺癌切除杂交手术中国专家共识,中国心血管病相关专家小组（统称）,站内免费下载,https://guide.medlive.cn/guideline/30661
2023 DGN指南：肌无力综合征的管理,德国神经病学学会,站内免费下载,https://guide.medlive.cn/guideline/30693
2023 临床实践指南：单人操作胆道镜在诊断不确定胆道狭窄及治疗疑难胆结石中的应用,国外消化科相关专家小组（统称）,站内免费下载,https://guide.medlive.cn/guideline/30681
2023 普林斯顿IV共识指南：PDE5抑制剂和心脏健康,国外泌尿外科相关专家组（统称）,站内免费下载,https://guide.medlive.cn/guideline/30680
狂犬病人免疫球蛋白临床应用广东专家共识,广东省药学会,站内免费下载,https://guide.medlive.cn/guideline/30678
2023 专家共识：重症哮喘患者报告的结果测量,国外呼吸科专家组（统称）,站内免费下载,https://guide.medlive.cn/guideline/30670
酮康唑洗剂专家共识,中国皮肤性病相关专家小组（统称）,站内免费下载,https://guide.medlive.cn/guideline/30667
2022 JBCS临床实践指南：乳腺癌的流行病学和预防,日本乳腺癌学会,有其他版本站内免费下载,https://guide.medlive.cn/guideline/30666
新生儿牛奶蛋白过敏诊断与管理专家共识 （2023）,中华医学会儿科学分会新生儿学组,会员可通过APP阅读,https://guide.medlive.cn/guideline/30662
糖尿病高血压病证结合诊疗指南,中国医师协会中西医结合医师分会,站内免费下载,https://guide.medlive.cn/guideline/30654
中国儿童生长激素缺乏症诊治指南,中华医学会儿科学分会内分泌遗传代谢学组,会员可通过APP阅读,https://guide.medlive.cn/guideline/30652
国家重点监控药品超说明书临床合理应用专家共识,四川省医学科学院·四川省人民医院,站内免费下载,https://guide.medlive.cn/guideline/30668
恶性肿瘤中医维持治疗专家共识,中华中医药学会血液病分会,站内免费下载,https://guide.medlive.cn/guideline/30653
2023 中国多学科专家共识：赛沃替尼相关药物不良反应的管理（英文）,中国肿瘤科相关专家小组（统称）,有其他版本站内免费下载,https://guide.medlive.cn/guideline/30656
2023 ACVC临床共识声明：急性右心室负荷增加（急性肺心病）继发右心衰的诊断和治疗,紧急心血管护理协会,站内免费下载,https://guide.medlive.cn/guideline/30889
2023 HFA/EAPCI临床共识声明：慢性右心衰和三尖瓣反流的流行病学、病理生理学、诊断和管理,欧洲心力衰竭协会,站内免费下载,https://guide.medlive.cn/guideline/30888
低钠血症的中国专家共识,中华医学会内分泌学分会,会员可通过APP阅读,https://guide.medlive.cn/guideline/30673
2023 中国共识：免疫球蛋白轻链型心脏淀粉样变的诊断与治疗（英文）,中国研究型医院学会,站内免费下载,https://guide.medlive.cn/guideline/30669
2023 AHRQ循证指南：院前气道管理,美国保健研究和质量机构,站内免费下载,https://guide.medlive.cn/guideline/30643
2023 专家共识：成人发病的斯蒂尔病以实现早期和长期的缓解为目标的治疗,国外风湿免疫科相关专家小组,第三方数据库下载,https://guide.medlive.cn/guideline/30783
2023更新—2021 NICE指南：双相障碍的评估和管理（CG.185）,英国国家卫生与临床优化研究所 ,有其他版本第三方数据库下载,https://guide.medlive.cn/guideline/30663
NCCN临床实践指南：骨髓增生性肿瘤（2024.V1）,美国国家综合癌症网络,有其他版本站内免费下载,https://guide.medlive.cn/guideline/30630
2023 WHO建议：产后出血的评估和产后出血集束化治疗的应用,世界卫生组织,有其他版本站内免费下载,https://guide.medlive.cn/guideline/30647
NCCN临床实践指南：原发性皮肤淋巴瘤（2024.V1）,美国国家综合癌症网络,站内免费下载,https://guide.medlive.cn/guideline/30644
免疫缺陷人群新型冠状病毒感染诊治策略中国专家共识（2023.V2 版）,国家呼吸系统疾病临床医学研究中心,有其他版本站内免费下载,https://guide.medlive.cn/guideline/30635
2023 MASCC/ESMO共识建议：使用高催吐风险抗肿瘤药物后恶心呕吐的预防（更新版）,癌症支持疗法多国学会,站内免费下载,https://guide.medlive.cn/guideline/30628
NCCN临床实践指南：伴有嗜酸性粒细胞和酪氨酸激酶融合基因的骨髓/淋巴肿瘤（2024.V1）,美国国家综合癌症网络,站内免费下载,https://guide.medlive.cn/guideline/30631
NCCN临床实践指南：外阴癌（2024.V3）,美国国家综合癌症网络,有其他版本站内免费下载,https://guide.medlive.cn/guideline/30641
妇科恶性肿瘤患者贫血诊治的中国专家共识（2023年版）,中国医师协会妇产科医师分会,站内免费下载,https://guide.medlive.cn/guideline/30822
2023 昆士兰指南：会阴护理（V5）,昆士兰卫生组织,有其他版本站内免费下载,https://guide.medlive.cn/guideline/30815
中国髋部脆性骨折术后抗骨质疏松药物临床干预指南（2023年版）,中华医学会骨科学分会,站内免费下载,https://guide.medlive.cn/guideline/30675
老年骨关节炎慢病管理指南,中国老年学和老年医学学会,站内免费下载,https://guide.medlive.cn/guideline/30696
2023 拉丁美洲共识：X连锁低磷血症患者向成人生活的过渡,国外内分泌相关专家小组（统称）,站内免费下载,https://guide.medlive.cn/guideline/30617
2023 MASCC/ESMO共识建议：中度呕吐风险抗肿瘤药物用药后恶心呕吐的预防（更新版）,癌症支持疗法多国学会,有其他版本站内免费下载,https://guide.medlive.cn/guideline/30613
2023 ASIPP循证共识指南：处方阿片类药物治疗慢性非癌性疼痛,美国介入疼痛医师协会,有其他版本第三方数据库下载,https://guide.medlive.cn/guideline/30612
NCCN临床实践指南：肛门癌（2024.V1）,美国国家综合癌症网络,站内免费下载,https://guide.medlive.cn/guideline/30633
2022 ECIL指南：血液系统恶性肿瘤和造血干细胞移植后患者弓形虫感染和弓形虫病的管理,欧洲白血病感染会议,站内免费下载,https://guide.medlive.cn/guideline/30994
中国肥胖症消化内镜治疗专家共识,中华医学会内镜学分会,会员可通过APP阅读,https://guide.medlive.cn/guideline/30921
2023 共识文件：心肾患者的姑息治疗,国外心血管相关专家小组（统称）,站内免费下载,https://guide.medlive.cn/guideline/30764
2022 JAS指南：动脉粥样硬化性心血管疾病的预防,日本动脉粥样硬化学会,有其他版本站内免费下载,https://guide.medlive.cn/guideline/30626
2023 MASCC/ESMO共识建议：使用低度或极少量催吐潜能化疗控制恶心呕吐（更新版）,癌症支持疗法多国学会,站内免费下载,https://guide.medlive.cn/guideline/30623
冠状动脉微血管疾病的诊断与治疗中国专家共识（2023版）-英文版,中华医学会心血管病学分会,有其他版本站内免费下载,https://guide.medlive.cn/guideline/30618
2023 AHA科学声明：院外心脏骤停昏迷成人患者的心导管实验室管理,美国心脏协会,第三方数据库下载,https://guide.medlive.cn/guideline/30601
红火蚁蜇伤急诊诊疗专家共识,国内急诊/重症相关专家小组（统称）,站内免费下载,https://guide.medlive.cn/guideline/30599
2023 IDSA指南：COVID-19的诊断—分子诊断检测,美国感染病学会,有其他版本第三方数据库下载,https://guide.medlive.cn/guideline/30598
2023 JUA临床实践指南：上尿路尿路上皮癌（概要）,日本泌尿外科协会,站内免费下载,https://guide.medlive.cn/guideline/30597
中国儿童川崎病诊疗循证指南（2023 年）,陕西省川崎病诊疗中心/陕西省人民医院儿童病院,站内免费下载,https://guide.medlive.cn/guideline/30596
2023 德国专家建议：肝脏特异性造影剂在局灶性肝脏病变评估中的应用,国外影像科相关专家小组,第三方数据库下载,https://guide.medlive.cn/guideline/30639
2024 AGA临床实践指南：贮袋炎和炎症性贮袋疾病的管理,美国胃肠病协会,第三方数据库下载,https://guide.medlive.cn/guideline/30627
中国肿瘤相关贫血诊治专家共识（2023版）,中国抗癌协会肿瘤临床化疗专业委员会,有其他版本会员可通过APP阅读,https://guide.medlive.cn/guideline/30603
中国对称三孔法腹腔镜胃袖状切除术规范化手术操作指南（2023版）,中国人体健康科技促进会,站内免费下载,https://guide.medlive.cn/guideline/30609
2023 最佳实践指南：成人乳糜泻患者的监测,国外消化科相关专家小组（统称）,第三方数据库下载,https://guide.medlive.cn/guideline/30595
儿童听力保健专科建设专家共识,中华预防医学会儿童保健分会,站内免费下载,https://guide.medlive.cn/guideline/30594
中国对称三孔法腹腔镜 Roux-en-Y胃旁路术规范化手术操作指南（2023版）,中国人体健康科技促进会,站内免费下载,https://guide.medlive.cn/guideline/30590
2023 AHA心肺复苏与心血管急救指南：成人高级心血管生命支持（更新版）,美国心脏协会,有其他版本第三方数据库下载,https://guide.medlive.cn/guideline/30581
麻仁润肠方治疗便秘专家共识,广东省药学会,站内免费下载,https://guide.medlive.cn/guideline/30580
2023 GAIS/SIS-E/WSIS/AAS/WSES指南：创伤中的抗生素预防,全球外科感染联盟,站内免费下载,https://guide.medlive.cn/guideline/30650
儿童性早熟中西医结合诊疗指南（2023版）,中国中西医结合学会儿科专业委员会,站内免费下载,https://guide.medlive.cn/guideline/30574
人工智能辅助宫颈细胞学诊断技术的应用及质量控制专家共识,中国妇幼保健协会,站内免费下载,https://guide.medlive.cn/guideline/30600
2023 SIED/GISCOR建议：结肠镜检查筛查程序—第I部分：诊断,意大利消化内镜学会,站内免费下载,https://guide.medlive.cn/guideline/30587
2023 意大利专家组建议：遗传性转甲状腺素蛋白淀粉样变性胃肠道症状的识别和管理,国外消化科相关专家小组（统称）,站内免费下载,https://guide.medlive.cn/guideline/30586
中国Ehlers⁃Danlos综合征诊疗指南,中国罕见病相关专家组（统称）,站内免费下载,https://guide.medlive.cn/guideline/30576
儿童新型冠状病毒感染安全合理用药专家共识,中国儿科相关医学专家组（统称）,站内免费下载,https://guide.medlive.cn/guideline/30731
中国寒冷地区2型糖尿病患者管理多学科专家共识,中国内分泌相关专家小组（统称）,会员可通过APP阅读,https://guide.medlive.cn/guideline/30589
2023 SIGN英国国家指南：围产期心理健康状况（169）,苏格兰校际指南网络,有其他版本第三方数据库下载,https://guide.medlive.cn/guideline/30664
2023 SOGC临床实践指南：多毛症的评估和治疗（No.444）,加拿大妇产科医生协会,有其他版本站内免费下载,https://guide.medlive.cn/guideline/30611
河南省肿瘤诊疗质量控制中心早期乳腺癌手术治疗专家共识（2023）,河南省肿瘤诊疗质量控制中心乳腺癌专家委员会,有其他版本站内免费下载,https://guide.medlive.cn/guideline/30585
Dravet 综合征诊断与治疗的中国专家共识,中国抗癫痫协会,站内免费下载,https://guide.medlive.cn/guideline/30584
2023 AAAAI/ACAAI指南：特应性皮炎（湿疹）,美国过敏、哮喘和免疫学会,站内免费下载,https://guide.medlive.cn/guideline/30582
2023 MASCC/ESMO共识建议：放疗和放化疗引起的恶心和呕吐的预防（更新版）,癌症支持疗法多国学会,有其他版本站内免费下载,https://guide.medlive.cn/guideline/30575
河南省 肿瘤诊疗质量控制中心乳腺癌新辅助治疗专家共识,河南省肿瘤诊疗质量控制中心乳腺癌专家委员会,有其他版本站内免费下载,https://guide.medlive.cn/guideline/30570
河南省肿瘤诊疗质量控制中心乳腺癌辅助化疗专家共识,河南省肿瘤诊疗质量控制中心乳腺癌专家委员会,站内免费下载,https://guide.medlive.cn/guideline/30649
无创神经调控技术辅助阿尔茨海默病治疗的中国专家共识,中国神经内科相关专家小组（统称）,站内免费下载,https://guide.medlive.cn/guideline/30592
脑认知健康管理中国专家共识（2023）,脑认知健康管理中国专家共识制定委员会,会员可通过APP阅读,https://guide.medlive.cn/guideline/30572
2023 CFAS临床实践指南：接受性腺毒性治疗患者的生育能力保存,加拿大生殖与男科学会,第三方数据库下载,https://guide.medlive.cn/guideline/31254
2023 国际专家共识声明：种系SDHD致病突变患者嗜铬细胞瘤和副神经节瘤的管理,国外肿瘤科相关专家小组（统称）,第三方数据库下载,https://guide.medlive.cn/guideline/30578
2023 NICE指南：心血管疾病的风险评估和降低，包括脂质修饰（NG.238）,英国国家卫生与临床优化研究所 ,第三方数据库下载,https://guide.medlive.cn/guideline/30566
2023 AHA科学声明：心血管患者群体中糖尿病足溃疡的现状及防治原则,美国心脏协会,第三方数据库下载,https://guide.medlive.cn/guideline/30561
2023 墨西哥共识：大便失禁,国外消化科相关专家小组（统称）,站内免费下载,https://guide.medlive.cn/guideline/30848
NCCN临床实践指南：胰腺癌（2024.V1）,美国国家综合癌症网络,站内免费下载,https://guide.medlive.cn/guideline/30550
NCCN临床实践指南：止吐（2024.V1）,美国国家综合癌症网络,站内免费下载,https://guide.medlive.cn/guideline/30549
人工智能在神经眼科疾病诊断中的应用指南（2023）,《人工智能在神经眼科疾病诊断中的应用指南（2023）》专家组,站内免费下载,https://guide.medlive.cn/guideline/30543
高血压患者高质量血压管理中国专家建议,中国高血压联盟,站内免费下载,https://guide.medlive.cn/guideline/30541
肺结节中西医结合全程管理专家共识,中国中西医结合学会肿瘤专业委员会,站内免费下载,https://guide.medlive.cn/guideline/30557
NCCN临床实践指南：壶腹腺癌（2024.V1）,美国国家综合癌症网络,有其他版本站内免费下载,https://guide.medlive.cn/guideline/30548
中国单纯疱疹病毒性角膜炎诊疗专家共识（2023年）,中国医师协会眼科医师分会,会员可通过APP阅读,https://guide.medlive.cn/guideline/30552
2023 加拿大共识：FLT3突变检测在急性白血病中的临床应用,加拿大白血病研究小组,站内免费下载,https://guide.medlive.cn/guideline/30818
心肾综合征诊疗的临床实践指南（2023版）,中国医师协会肾脏内科医师分会,会员可通过APP阅读,https://guide.medlive.cn/guideline/30556
2023 IPOG共识：误吸的处理,国际小儿耳鼻喉科小组,站内免费下载,https://guide.medlive.cn/guideline/30677
2023 EAACI意见书：速发型药物超敏反应的基于流式的嗜碱性粒细胞活化试验,欧洲变应性反应与临床免疫学会,站内免费下载,https://guide.medlive.cn/guideline/30593
2024 ACOG临床指南：第一产程和第二产程管理（No.8）,美国妇产科医师学会,站内免费下载,https://guide.medlive.cn/guideline/30568
河南省肿瘤诊疗质量控制中心乳腺癌术后放射治疗专家共识,河南省肿瘤诊疗质量控制中心乳腺癌专家委员会,站内免费下载,https://guide.medlive.cn/guideline/30563
功能性腹泻中医诊疗专家共识（2023）,中华中医药学会脾胃病分会,站内免费下载,https://guide.medlive.cn/guideline/30542
NCCN临床实践指南：软组织肉瘤（2023.V3）,美国国家综合癌症网络,站内免费下载,https://guide.medlive.cn/guideline/30532
口腔颌面部肿瘤术后吞咽障碍的评估和康复管理专家共识,中国口腔科相关专家组（统称）,站内免费下载,https://guide.medlive.cn/guideline/30529
东北三省超说明书用药专家共识（实体瘤、血液病篇）,辽宁省药学会,站内免费下载,https://guide.medlive.cn/guideline/30528
难治性痛风中西医结合治疗专家共识（2023）,中国内分泌相关专家小组（统称）,站内免费下载,https://guide.medlive.cn/guideline/30527
NCCN临床实践指南：系统性轻链淀粉样变性（2024.V2）,美国国家综合癌症网络,站内免费下载,https://guide.medlive.cn/guideline/30551
2024 ADA 糖尿病医学诊疗标准,美国糖尿病学会,有解读有其他版本第三方数据库下载,https://guide.medlive.cn/guideline/30523
2023 AHA科学声明：社区和心血管健康,美国心脏协会,第三方数据库下载,https://guide.medlive.cn/guideline/30520
恶性肠梗阻治疗中国专家共识（2023年）,中国抗癌协会,站内免费下载,https://guide.medlive.cn/guideline/30966
肿瘤相关性腹泻的营养治疗专家共识,中国抗癌协会肿瘤营养与支持治疗专业委员会,站内免费下载,https://guide.medlive.cn/guideline/30960
2023 法国立场声明：肢端肥大症的诊断与管理,国外内分泌相关专家小组（统称）,站内免费下载,https://guide.medlive.cn/guideline/30660
2023 MASCC／ESMO建议：多日化疗、大剂量化疗后恶心呕吐及突破性恶心呕吐的预防（更新版）,癌症支持疗法多国学会,有其他版本第三方数据库下载,https://guide.medlive.cn/guideline/30588
2023 ESMO临床实践指南：早期乳腺癌的诊断，治疗和随访,欧洲肿瘤内科学会,有其他版本第三方数据库下载,https://guide.medlive.cn/guideline/30573
2023 ISHLT共识声明：心力衰竭相关的心源性休克,国际心肺移植协会,站内免费下载,https://guide.medlive.cn/guideline/30571
森田疗法门诊操作规则的专家意见,中国精神科相关专家小组,站内免费下载,https://guide.medlive.cn/guideline/30562
NCCN临床实践指南：老年肿瘤（2024.V1）,美国国家综合癌症网络,有其他版本站内免费下载,https://guide.medlive.cn/guideline/30522
2023 意大利意见书：癌症患者的糖尿病管理,意大利肿瘤医学协会,站内免费下载,https://guide.medlive.cn/guideline/30513
2023 ACIP建议：灭活脊髓灰质炎疫苗在成人中的应用,免疫实践咨询委员会,第三方数据库下载,https://guide.medlive.cn/guideline/30500
2023 POQI共识声明：右心室功能围手术期评估,围手术期质量倡议协会,站内免费下载,https://guide.medlive.cn/guideline/30515
2023 中国专家共识：儿童呼吸道合胞病毒感染的诊断、治疗和预防（英文版）,中国儿科相关医学专家组（统称）,有其他版本第三方数据库下载,https://guide.medlive.cn/guideline/30519
2023 GFCH指南：细胞遗传学在成熟T细胞和NK细胞肿瘤治疗中的应用,法国血液细胞遗传学小组,站内免费下载,https://guide.medlive.cn/guideline/30751
2023 GFCH指南：细胞遗传学在慢性淋巴细胞白血病治疗中的应用,法国血液细胞遗传学小组,站内免费下载,https://guide.medlive.cn/guideline/30658
2023 WHO指南：初级和社区护理机构内成人慢性原发性腰痛的非手术治疗,世界卫生组织,站内免费下载,https://guide.medlive.cn/guideline/30526
NCCN临床实践指南：免疫治疗相关毒性的管理（2024.V1）,美国国家综合癌症网络,站内免费下载,https://guide.medlive.cn/guideline/30501
2023 AHA科学声明：伴或不伴心血管疾病个体的抗阻运动训练（更新版）,美国心脏协会,第三方数据库下载,https://guide.medlive.cn/guideline/30499
2024 OMA临床实践声明：青少年肥胖的特殊考虑,肥胖医学协会,站内免费下载,https://guide.medlive.cn/guideline/30775
中国急诊成人镇痛、镇静与谵妄管理专家共识,中华医学会急诊医学分会,会员可通过APP阅读,https://guide.medlive.cn/guideline/30495
2023 加拿大共识建议：可手术II/III期非小细胞肺癌的管理,国外肿瘤科相关专家小组（统称）,站内免费下载,https://guide.medlive.cn/guideline/30819
2023 BTS临床声明：成人慢性咳嗽,英国胸科协会,第三方数据库下载,https://guide.medlive.cn/guideline/30544
中国整形美容诊疗镇静/镇痛/麻醉操作技术规范（2023）,中国整形外科相关专家小组（统称）,站内免费下载,https://guide.medlive.cn/guideline/30507
2023 中国专家共识：牙髓疾病的数字引导治疗（英文版）,中国口腔科相关专家组（统称）,站内免费下载,https://guide.medlive.cn/guideline/30493
2023 法国意见书：冠状动脉痉挛诱发试验在临床中的应用,国外心血管相关专家小组（统称）,站内免费下载,https://guide.medlive.cn/guideline/30503
NCCN临床实践指南：癌症相关感染的预防和治疗（2023.V2）,美国国家综合癌症网络,站内免费下载,https://guide.medlive.cn/guideline/30484
2023 ABA临床实践指南：烧伤休克复苏,美国烧伤学会,有其他版本第三方数据库下载,https://guide.medlive.cn/guideline/30490
2023 ESCP指南：隐窝腺性肛瘘的诊断和治疗,欧洲肛肠病学学会,站内免费下载,https://guide.medlive.cn/guideline/30477
NCCN临床实践指南：巨球蛋白血症/淋巴浆细胞性淋巴瘤（2024.V2）,美国国家综合癌症网络,有其他版本站内免费下载,https://guide.medlive.cn/guideline/30488
