标题,来源,下载方式,链接
肾癌诊疗规范（2018年版）,中华人民共和国国家卫生健康委员会,站内免费下载,https://guide.medlive.cn/guideline/17125
前列腺癌诊疗规范（2018年版）,中华人民共和国国家卫生健康委员会,有其他版本站内免费下载,https://guide.medlive.cn/guideline/17123
淋巴瘤诊疗规范（2018年版）,中华人民共和国国家卫生健康委员会,有其他版本站内免费下载,https://guide.medlive.cn/guideline/17122
膀胱癌诊疗规范（2018年版）,中华人民共和国国家卫生健康委员会,站内免费下载,https://guide.medlive.cn/guideline/17121
黑色素瘤诊疗规范（2018年版）,中华人民共和国国家卫生健康委员会,有其他版本站内免费下载,https://guide.medlive.cn/guideline/17120
成人急性淋巴细胞白血病诊疗规范 （2018年版）,中华人民共和国国家卫生健康委员会,站内免费下载,https://guide.medlive.cn/guideline/17119
成人急性髓系白血病诊疗规范（2018年版）,中华人民共和国国家卫生健康委员会,站内免费下载,https://guide.medlive.cn/guideline/17118
成人慢性粒细胞白血病诊疗规范（2018年版）,中华人民共和国国家卫生健康委员会,站内免费下载,https://guide.medlive.cn/guideline/17117
脑胶质瘤诊疗规范（2018年版）,中华人民共和国国家卫生健康委员会,有其他版本站内免费下载,https://guide.medlive.cn/guideline/17115
烧伤患者气管切开置管全国专家共识（2018版）,中国老年医学学会烧创伤分会,站内免费下载,https://guide.medlive.cn/guideline/17114
吸入性损伤临床诊疗全国专家共识（2018版）,中国老年医学学会烧创伤分会,有其他版本站内免费下载,https://guide.medlive.cn/guideline/17106
血管衰老临床评估与干预中国专家共识（2018）,中华医学会老年医学分会,站内免费下载,https://guide.medlive.cn/guideline/17087
呼吸泵衰竭监测与治疗中国专家共识,中华医学会神经病学分会神经重症协作组,会员可通过APP阅读,https://guide.medlive.cn/guideline/17083
2018 AHA科学声明：外周动脉疾病患者最佳运动方案,"美国心脏协会(AHA,American Heart Association)",站内免费下载,https://guide.medlive.cn/guideline/17209
2018 AISF临床实践指南：肝性脑病,"意大利肝病学会(AISF,Italian Association for the Study of the Liver)",站内免费下载,https://guide.medlive.cn/guideline/17243
2018 ASCRS临床实践指南：择期结直肠手术肠道准备的应用,"美国结肠和直肠外科医师学会(ASCRS,American Society of Colon and Rectal Surgeons)",有翻译站内免费下载,https://guide.medlive.cn/guideline/17036
2018 CNGOF临床实践指南：产科会阴预防科保护,"法国国家妇产科医生协会(CNGOF,collège national des gynécologues et obstétriciens francais)",站内免费下载,https://guide.medlive.cn/guideline/17073
中国卫生行业标准-常用血清肿瘤标志物检测的临床应用和质量管理（WS/T 459-2018）,中华人民共和国国家卫生健康委员会,站内免费下载,https://guide.medlive.cn/guideline/17416
中国卫生行业标准-临床微生物学检验样本的采集和转运（WS/T 640-2018）,中华人民共和国国家卫生健康委员会,站内免费下载,https://guide.medlive.cn/guideline/17415
中国卫生行业标准-抗菌药物敏感性试验的技术要求（WS/T 639-2018）,中华人民共和国国家卫生健康委员会,站内免费下载,https://guide.medlive.cn/guideline/17259
2018 昆士兰临床指南：产时胎儿监测,"昆士兰卫生组织(QLD,Queensland Health)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/17170
2018 昆士兰临床指南：妊娠期梅毒,"昆士兰卫生组织(QLD,Queensland Health)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/17081
应激性溃疡防治专家建议（2018版）,中国消化科相关专家小组（统称）,有其他版本会员可通过APP阅读,https://guide.medlive.cn/guideline/17056
2018 CTFPHC建议：不存在乳腺癌风险增加的40-70岁女性乳腺癌筛查,"加拿大预防保健工作组(CTFPHC,Canadian Task Force on Preventive Health Care)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/17043
冠状动脉CT血管成像扫描与报告书写专家共识,国家心血管病专业质控中心专家委员会心血管影像质控专家工作组,站内免费下载,https://guide.medlive.cn/guideline/17027
中国艾滋病诊疗指南（2018版）,中华医学会感染病学分会艾滋病学组,有解读有其他版本站内免费下载,https://guide.medlive.cn/guideline/17024
2018 AHA科学声明：他汀类药物的安全性和相关不良事件,"美国心脏协会(AHA,American Heart Association)",站内免费下载,https://guide.medlive.cn/guideline/17022
2018 CCS立场声明：家族性高胆固醇血症（更新版）,"加拿大心血管学会(CCS,Canadian Cardiovascular Society)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/17034
2018 AAHKS/ASRA/AAOS/THS/TKS临床实践指南：氨甲环酸在全关节置换术中的应用,"美国髋膝关节外科医师协会(AAHKS,American Association of Hip and Knee Surgeons)",有解读有翻译站内免费下载,https://guide.medlive.cn/guideline/17900
2018 CPS实践指南：伏立康唑个体化用药,中国药理学会(Chinese Pharmacological Society),有解读站内免费下载,https://guide.medlive.cn/guideline/18148
2018 ACOG委员会意见：妊娠期和产后急性发作、严重高血压的急诊治疗（No.767）,"美国妇产科医师学会(ACOG,American College of Obstetricians and Gynecologists)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/17276
2018 WHO指南：耐多药和利福平耐药结核病的治疗（更新版）,"世界卫生组织(WHO,The World Health Organization)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/17225
2018 INASL指南：HBV感染患者接受化疗，生物治疗，免疫抑制治疗或糖皮质激素治疗的管理,"印度国家肝脏研究协会(INASL,Indian National Association for Study of the Liver)",有翻译第三方数据库下载,https://guide.medlive.cn/guideline/18079
重庆市头孢菌素类抗菌药物皮肤过敏试验共识,重庆市药事管理质量控制中心,站内免费下载,https://guide.medlive.cn/guideline/18397
2018 欧洲共识建议：川崎病的诊断和治疗,国外风湿免疫科相关专家小组,站内免费下载,https://guide.medlive.cn/guideline/17037
2018 欧洲共识建议：罕见儿童血管炎的诊断和治疗,国外风湿免疫科相关专家小组,站内免费下载,https://guide.medlive.cn/guideline/17053
2018 NHMRC临床实践指南：工作相关精神健康状态的诊断和管理,"澳大利亚国家健康与医学研究理事会(NHMRC,Australian Government National Health and Medical Research Council)",站内免费下载,https://guide.medlive.cn/guideline/18346
2018 ADA/EASD共识报告：2型糖尿病高血糖的管理,"美国糖尿病学会(ADA,American Diabetes Association)",有其他版本第三方数据库下载,https://guide.medlive.cn/guideline/18639
2018 台湾肺炎治疗指南,台湾抗生素应用指南建议专家组,站内免费下载,https://guide.medlive.cn/guideline/17262
富血小板血浆在骨关节外科临床应用专家共识（2018年版）,中国医疗保健国际交流促进会,站内VIP下载,https://guide.medlive.cn/guideline/17279
2018 KSA临床实践指南：围术期红细胞输注,"韩国麻醉医师学会(KSA,Korean Society of Anesthesiologists)",第三方数据库下载,https://guide.medlive.cn/guideline/17014
2018 NICE指南：慢性阻塞性肺疾病的诊断和管理（NG.115）,"英国国家卫生与临床优化研究所 (NICE,National Institute for Health and Clinical Excellence)",站内免费下载,https://guide.medlive.cn/guideline/16995
2018 ACC专家共识决策路径：戒烟治疗,"美国心脏病学会(ACC,American College of Cardiology)",站内免费下载,https://guide.medlive.cn/guideline/16992
2018 NICE指南：创伤后应激障碍（NG.116）,"英国国家卫生与临床优化研究所 (NICE,National Institute for Health and Clinical Excellence)",站内免费下载,https://guide.medlive.cn/guideline/16985
2018 NICE指南：慢性阻塞性肺疾病（急性加重）的处方抗菌药应用（NG.114）,"英国国家卫生与临床优化研究所 (NICE,National Institute for Health and Clinical Excellence)",有翻译站内免费下载,https://guide.medlive.cn/guideline/17017
2019 ESVS临床实践指南：腹主动脉-髂动脉瘤的管理,"欧洲血管外科学会(ESVS,The European Society for Vascular Surgery)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/17374
2018 BC指南：C反应蛋白和红细胞沉降率检测,"不列颠哥伦比亚省临床实践指南中心(BC,Clinical Practice Guidelines and Protocols in British Columbia)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/17999
2018 昆士兰临床指南：终止妊娠,"昆士兰卫生组织(QLD,Queensland Health)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/16964
2018 ACPGBI共识指南：手术治疗炎症性肠病,"大不列颠及爱尔兰肛肠协会(ACPGBI,Association of Coloproctology of Great Britain and Ireland)",站内免费下载,https://guide.medlive.cn/guideline/17003
2018 BAD/BPG指南：局部光动力治疗,"英国皮肤科医师协会(BAD,British Association of Dermatologists)",站内免费下载,https://guide.medlive.cn/guideline/17005
胶原类创面材料临床应用全国专家共识(2018版),中国老年医学学会烧创伤分会,有其他版本站内免费下载,https://guide.medlive.cn/guideline/23334
2018 中国高血压预防和治疗指南（英文版）,《中国高血压防治指南》修订委员会,有其他版本站内免费下载,https://guide.medlive.cn/guideline/18089
2018 EHA/ELN建议：成人慢性粒单核细胞性白血病的诊断和治疗,"欧洲血液学协会(EHA,European Haematology Association)",站内免费下载,https://guide.medlive.cn/guideline/17001
中国艰难梭菌医院感染预防与控制指南,"中华预防医学会(CPMA,Chinese Preventive Medicine Association)",站内免费下载,https://guide.medlive.cn/guideline/17054
2018 BHIVA指南：HIV携带者结核病的管理,"英国艾滋病协会(BHIVA,British HIV Association)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/17431
2018 神经结节病联盟共识：神经结节病的定义和诊断标准,国外神经内科相关专家小组（统称）,站内免费下载,https://guide.medlive.cn/guideline/17512
2018 SDMC最佳实践指南：骨骼发育不良患者产前评估和分娩,"骨骼发育不良管理联盟(SDMC,Skeletal Dysplasia Management Consortium)",有解读站内免费下载,https://guide.medlive.cn/guideline/17531
药物超敏反应综合征诊治专家共识,中国医师协会皮肤科医师分会,会员可通过APP阅读,https://guide.medlive.cn/guideline/16987
阿戈美拉汀治疗抑郁症临床应用专家建议,中国精神科相关专家小组,站内免费下载,https://guide.medlive.cn/guideline/16986
乳铁蛋白婴幼儿健康效应专家共识,"中国营养学会(CNS,Chinese Nutrition Society)",站内免费下载,https://guide.medlive.cn/guideline/17012
动物致伤专家共识,中国医学救援协会,站内免费下载,https://guide.medlive.cn/guideline/17604
中国肾移植围手术期加速康复管理专家共识（2018版）,中华人民共和国国家卫生健康委员会,站内VIP下载,https://guide.medlive.cn/guideline/17595
腹腔镜袖状胃切除术操作指南（2018 版）,"中国医师协会外科医师分会肥胖和糖尿病外科医师委员会(CSMBS,Chinese Society for Metabolic & Bariatric Surgery)",站内免费下载,https://guide.medlive.cn/guideline/17550
四川省肝泡型包虫病消融治疗技术规范,四川省医师协会包虫病专业委员会,站内免费下载,https://guide.medlive.cn/guideline/17360
